,weight,beta,risk_contrib_pct
영원무역홀딩스,0.20624114567604981,0.5016354681311332,26.86209066944425
동아쏘시오홀딩스,0.11410550807352204,0.29626239069498994,8.241852793035813
강원랜드,0.11193689539787963,0.523772798207119,8.922651262227816
삼성물산,0.09813479042486568,0.9568663848370453,10.509632589228344
LG유플러스,0.09286121081549971,0.33588157648873374,4.830390052259763
세아베스틸지주,0.09209510278616061,0.740724891565183,13.627741493458936
KT,0.08771734261850861,0.36098866266622587,5.54002707062446
오리온홀딩스,0.074421922850084,0.40863362585031954,6.142325988634346
현대지에프홀딩스,0.07205063609260584,0.6952425535575343,9.239962203743461
아모레퍼시픽홀딩스,0.05043544526482409,0.7819425618076409,6.08332587734282
