,last_price,buy_price,shares,cost,value,pnl,pnl_pct,weight
영원무역홀딩스,127200.0,130600,8,1044800,1017600.0,-27200.0,-2.6033690658499236,0.20624114567604981
동아쏘시오홀딩스,112600.0,111060,5,555300,563000.0,7700.0,1.3866378534125696,0.11410550807352204
강원랜드,18410.0,18670,30,560100,552300.0,-7800.0,-1.3926084627745046,0.11193689539787963
삼성물산,161400.0,162600,3,487800,484200.0,-3600.0,-0.7380073800738007,0.09813479042486568
LG유플러스,14780.0,14710,31,456010,458180.0,2170.0,0.4758667573079538,0.09286121081549971
세아베스틸지주,28400.0,29050,16,464800,454400.0,-10400.0,-2.2375215146299485,0.09209510278616061
KT,54100.0,54400,8,435200,432800.0,-2400.0,-0.5514705882352942,0.08771734261850861
오리온홀딩스,20400.0,20600,18,370800,367200.0,-3600.0,-0.9708737864077669,0.074421922850084
현대지에프홀딩스,7900.0,8200,45,369000,355500.0,-13500.0,-3.6585365853658534,0.07205063609260584
아모레퍼시픽홀딩스,27650.0,28400,9,255600,248850.0,-6750.0,-2.640845070422535,0.05043544526482409
