,last_price,buy_price,shares,cost,value,pnl,pnl_pct,weight
영원무역홀딩스,129800.0,130600,8,1044800,1038400.0,-6400.0,-0.6125574272588056,0.21318923624299138
동아쏘시오홀딩스,109900.0,111060,5,555300,549500.0,-5800.0,-1.0444804610120655,0.1128153749186477
강원랜드,17880.0,18670,30,560100,536400.0,-23700.0,-4.231387252276379,0.11012587280502752
삼성물산,171300.0,162600,3,487800,513900.0,26100.0,5.350553505535055,0.10550649894575623
LG유플러스,14390.0,14710,31,456010,446090.0,-9920.0,-2.175390890550646,0.09158473266143685
세아베스틸지주,26500.0,29050,16,464800,424000.0,-40800.0,-8.777969018932874,0.08704953405915673
KT,52300.0,54400,8,435200,418400.0,-16800.0,-3.860294117647059,0.08589982323196031
오리온홀딩스,20600.0,20600,18,370800,370800.0,0.0,0.0,0.07612728120079083
현대지에프홀딩스,7460.0,8200,45,369000,335700.0,-33300.0,-9.024390243902438,0.06892105798032763
아모레퍼시픽홀딩스,26400.0,28400,9,255600,237600.0,-18000.0,-7.042253521126761,0.04878058795390481
