,weight,beta,risk_contrib_pct
영원무역홀딩스,0.21318923624299138,0.49109382880184116,28.19680675686585
동아쏘시오홀딩스,0.1128153749186477,0.2962609607334854,8.062659528863827
강원랜드,0.11012587280502752,0.5230916728569516,8.634393577707304
삼성물산,0.10550649894575623,0.9573226414770041,11.43612853054646
LG유플러스,0.09158473266143685,0.32189938487619757,4.721924735917652
세아베스틸지주,0.08704953405915673,0.7655651951245802,12.55758031965867
KT,0.08589982323196031,0.36609000553686183,5.465575186073757
오리온홀딩스,0.07612728120079083,0.4078768574628578,6.314418196656662
현대지에프홀딩스,0.06892105798032763,0.6868010020248287,8.85394666534975
아모레퍼시픽홀딩스,0.04878058795390481,0.7714151871949179,5.756566502360074
