metric,value
total_cost_krw,4999410.0
total_value_krw,4870790.0
total_pnl_krw,-128620.0
total_pnl_pct,-0.025727035790223247
vol_annual,0.1709918327373944
beta,0.5403143206296568
VaR95_1d_krw,86568.21183887382
VaR99_1d_krw,122244.80823307637
