,weight,beta,risk_contrib_pct
영원무역홀딩스,0.21312362880018235,0.491328323495042,28.137854369721676
동아쏘시오홀딩스,0.11183292019260906,0.29618890382855684,7.946283635664432
강원랜드,0.10886156325937504,0.5228612860230043,8.497541263736087
삼성물산,0.10641935208137447,0.9579151663572403,11.54834379594416
LG유플러스,0.09167043174223274,0.322277522099064,4.7227608054295676
세아베스틸지주,0.08808241648655359,0.7663687107301116,12.752655046279113
KT,0.08612864754415314,0.3665340615291052,5.478604077903375
오리온홀딩스,0.0756474912385674,0.40787524242457085,6.254274998722057
현대지에프홀딩스,0.06941985273466597,0.6873867711865441,8.913933571974784
아모레퍼시픽홀딩스,0.048813695920286226,0.7717097045440259,5.747748434624739
