,vol_annual,beta,max_drawdown
세아베스틸지주,0.48859497929785545,0.7663687107301116,-0.48415672913117547
아모레퍼시픽홀딩스,0.4513389508725619,0.7717097045440259,-0.5755605381165919
현대지에프홀딩스,0.3504754043614515,0.6873867711865441,-0.3889897156684815
영원무역홀딩스,0.3199277353646867,0.491328323495042,-0.24563106796116507
삼성물산,0.31212429063786085,0.9579151663572403,-0.3659250585480094
동아쏘시오홀딩스,0.277856624261611,0.29618890382855684,-0.2657335898005935
오리온홀딩스,0.25596128643441185,0.40787524242457085,-0.23320312499999996
KT,0.24012186520511983,0.3665340615291052,-0.23583662714097497
강원랜드,0.2320702811903864,0.5228612860230043,-0.48197343453510433
LG유플러스,0.18834849829641187,0.322277522099064,-0.217283950617284
