,last_price,buy_price,shares,cost,value,pnl,pnl_pct,weight
영원무역홀딩스,130900.0,130600,8,1044800,1047200.0,2400.0,0.22970903522205208,0.21312362880018235
동아쏘시오홀딩스,109900.0,111060,5,555300,549500.0,-5800.0,-1.0444804610120655,0.11183292019260906
강원랜드,17830.0,18670,30,560100,534900.0,-25200.0,-4.499196572040707,0.10886156325937504
삼성물산,174300.0,162600,3,487800,522900.0,35100.0,7.195571955719557,0.10641935208137447
LG유플러스,14530.0,14710,31,456010,450430.0,-5580.0,-1.2236573759347382,0.09167043174223274
세아베스틸지주,27050.0,29050,16,464800,432800.0,-32000.0,-6.884681583476763,0.08808241648655359
KT,52900.0,54400,8,435200,423200.0,-12000.0,-2.7573529411764706,0.08612864754415314
오리온홀딩스,20650.0,20600,18,370800,371700.0,900.0,0.24271844660194172,0.0756474912385674
현대지에프홀딩스,7580.0,8200,45,369000,341100.0,-27900.0,-7.560975609756097,0.06941985273466597
아모레퍼시픽홀딩스,26650.0,28400,9,255600,239850.0,-15750.0,-6.161971830985916,0.048813695920286226
