날짜,동아쏘시오홀딩스,세아베스틸지주,오리온홀딩스,아모레퍼시픽홀딩스,현대지에프홀딩스,영원무역홀딩스,삼성물산,KT,LG유플러스,강원랜드,KOSPI
2022-09-14,-0.019419638524351055,-0.038814704215507416,-0.010362787035546547,-0.017725722599108273,-0.013433949234168603,-0.011385322225125352,-0.02150620522096362,-0.017699577099400975,-0.0088496152769825,-0.023347363996991177,-0.01568446622258817
2022-09-15,0.01941963852435092,0.06881695451930629,-0.01398624197473984,-0.007479466431292624,-0.0067852630018169,0.028223886587954956,-0.004357305368955701,-0.012439690475639236,0.0,0.0,-0.003984838805346327
2022-09-16,-0.019419638524351055,-0.04792846657195084,0.02434902901028655,0.014903405502574948,-0.003927653627953841,-0.005581409838195152,-0.013187004281953801,-0.001391788672822497,0.01762160134981941,-0.001970443987298725,-0.007963073547948986
2022-09-19,0.00489288991608286,-0.026179505581771054,0.0,-0.022439236191277752,-0.044687159710433216,0.01848481467410316,-0.00888894741724604,-0.005586606708639823,-0.013187004281953801,-0.003952574315823358,-0.011446930269098746
2022-09-20,-0.004892889916082757,-0.010666767804195192,0.0034305350967892222,0.006033200804167913,0.022487295138469365,0.01994626418237891,0.013303965626362886,0.018043515193934916,0.013187004281953681,0.027345453890528837,0.005161427439394154
2022-09-21,0.014597483027465864,0.005347606326595277,0.003418806748785461,0.0,-0.015365219064056253,-0.010830430774369553,-0.0088496152769825,0.0054869822162591985,0.008695706967553913,-0.0077369825021524515,-0.00875498162794159
2022-09-22,-0.019504289038052364,0.05195973893071096,0.013559529785632294,-0.03675758373518405,-0.012769354332179956,-0.009115833408009493,-0.008928630744301318,-0.012388320856952316,-0.026317308317373417,0.02303364787762613,-0.006368196034814517
2022-09-23,-0.020906684819313712,0.015075662405447396,-0.027305450690267446,-0.06277201161184898,-0.0278286509386226,-0.027856954502966224,-0.027274417919659174,0.006901338640693181,0.0088496152769826,-0.02497728308619721,-0.018307375191906665
2022-09-26,-0.007067167223092443,-0.06970562989203728,-0.017452449951226166,-0.03378699757738321,-0.028394866216148864,-0.04428057366345695,-0.028039220064393047,0.012303641195356952,-0.017778246021283944,-0.041714091412474966,-0.030621287876937686
2022-09-27,-0.0071174677688639896,-0.0134591533740048,0.05813602658766972,0.020408871631207033,0.010543301883383057,0.03481976515922791,0.014117881545785022,-0.008185584586439405,0.0,0.02602749524477545,0.001313895077425989
2022-09-28,-0.01335559698624937,-0.07306619687458732,-0.013378125946176087,-0.029037052854545404,0.013587165546308356,-0.0038095284166677302,-0.028437935320533514,-0.03484673133016819,-0.041195756438267284,-0.01593659226281264,-0.02484449969234004
2022-09-29,0.03853999271017483,-0.02958795718549607,0.020000666706669435,-0.028121360985403233,-0.014956091153650104,0.001906578270581669,0.014320053774748471,0.008474626990972236,0.004662013105811371,-0.040989344533197004,0.0007557220961389787
2022-09-30,0.004965730386610424,-0.024317307650706357,-0.023373351185308713,-0.043722811013831575,-0.03673977496222588,-0.02702867238791926,-0.019139340210697395,0.01811896258247556,0.0,-0.014752638475038183,-0.007137571270972037
2022-10-04,-0.016980919498977776,0.0769610411361284,0.0067340321813441194,-0.009354605167220349,0.03673977496222589,0.01745922137176855,0.03325722175648234,-0.0013821702269516474,-0.009345862418237658,0.021009176089343426,0.024693857284227506
2022-10-05,0.006025640043812589,0.011331566009550018,-0.020339684237122672,-0.024739606175755758,-0.015183176421390119,-0.009661910911736859,-0.004683849312426314,-0.00693965311054048,0.023202897079663793,-0.01465994841068463,0.0026397881803222924
2022-10-06,-0.015127499286559773,-0.008486613877318694,0.023689771122404665,0.03595467699589567,0.007620404039690442,0.02113431207397379,0.023202897079663793,-0.012614042516096716,-0.009216655104923952,0.016736792355523826,0.010168330715580624
2022-10-07,0.0020274867163749856,-0.02298951822469872,-0.0033500868852819744,-0.047582714991014866,-0.02139118998131756,0.018832948333092178,0.013667638728663835,-0.019943680967335335,-0.009302392662313561,0.004140792666031387,-0.0022457342741806436
2022-10-11,-0.02880883818608925,-0.0629893341507418,0.00668898815079671,-0.05406722127027582,-0.029817355052396036,-0.011257154524634447,-0.009090971701251963,-0.024764557624396565,-0.018868484304382805,-0.02298951822469872,-0.01842801492296388
2022-10-12,-0.002086807620094127,0.06298933415074189,-0.020202707317519466,-0.002059732963010616,0.004589934377789531,-0.03455238150665973,-0.013793322132335873,0.013187004281953681,-0.00477327875265766,0.008421102396408345,0.004733154967625289
2022-10-13,-0.01475272992278543,-0.0385232819963354,-0.03109058707003112,-0.020834086902842025,-0.04712849417035685,-0.009813621448324622,-0.009302392662313561,-0.013187004281953801,-0.019324272826402814,-0.0297894368021071,-0.01814341439592047
2022-10-14,0.04463514620849134,0.11946004426675269,0.006993035490970604,0.05129329438755048,0.06148624260805957,0.00981362144832467,0.032186686495901284,0.026202372394024117,0.019324272826402842,0.023480267608842448,0.022709653060499106
2022-10-17,0.007081518788986527,-0.0985325241607967,0.0,0.003992021269537457,0.010869672236903891,0.003898640415657323,0.004514680354526613,0.0057306747089850745,0.009523881511255541,-0.012739025777429714,0.0032308602059801217
2022-10-18,0.013021272370230185,0.008836581800497944,0.017271586508660716,0.015810606026642245,0.015392094924458588,0.0058196090532640025,0.0,0.014184634991956381,0.03263692931302253,0.01904819497069441,0.01353143702655574
2022-10-19,-0.020102791159216767,-0.01775194545845034,-0.017271586508660595,-0.017804624633506707,-0.010936700052840257,-0.0038759738446929605,-0.022780028331819885,-0.007067167223092443,0.0,-0.0233308567626953,-0.005575638582319647
