,동아쏘시오홀딩스,세아베스틸지주,오리온홀딩스,아모레퍼시픽홀딩스,현대지에프홀딩스,영원무역홀딩스,삼성물산,KT,LG유플러스,강원랜드
동아쏘시오홀딩스,1.0,0.11998998540344032,0.17147919586561242,0.18475628629063703,0.2608198760115778,0.13976823816388634,0.15860882832724563,0.09392206431582398,0.17085317577565362,0.20740244681789125
세아베스틸지주,0.11998998540344032,1.0,0.1385392375200992,0.1412153050885416,0.1943141451719867,0.19648457305310943,0.16035125969517822,0.10145087891975837,0.14710655842536646,0.2433302129321795
오리온홀딩스,0.17147919586561242,0.1385392375200992,1.0,0.24317482545229543,0.4012269267925973,0.344531431714252,0.2528288672781054,0.2447156522110118,0.26392116516516495,0.29017038009034085
아모레퍼시픽홀딩스,0.18475628629063703,0.1412153050885416,0.24317482545229543,1.0,0.2762340484789043,0.14508803869795192,0.1962962950735473,0.12103350787370809,0.18366377964737024,0.358225625741332
현대지에프홀딩스,0.2608198760115778,0.1943141451719867,0.4012269267925973,0.2762340484789043,1.0,0.3229253451377492,0.36363330620910966,0.2493671646149952,0.2498439702947408,0.3600282730594255
영원무역홀딩스,0.13976823816388634,0.19648457305310943,0.344531431714252,0.14508803869795192,0.3229253451377492,1.0,0.3219908147460603,0.17749164865774752,0.16661947361441445,0.19497809947255224
삼성물산,0.15860882832724563,0.16035125969517822,0.2528288672781054,0.1962962950735473,0.36363330620910966,0.3219908147460603,1.0,0.27339315022271143,0.22280971675740027,0.28769452201801643
KT,0.09392206431582398,0.10145087891975837,0.2447156522110118,0.12103350787370809,0.2493671646149952,0.17749164865774752,0.27339315022271143,1.0,0.4528729945562532,0.2831313662046677
LG유플러스,0.17085317577565362,0.14710655842536646,0.26392116516516495,0.18366377964737024,0.2498439702947408,0.16661947361441445,0.22280971675740027,0.4528729945562532,1.0,0.31074540708896925
강원랜드,0.20740244681789125,0.2433302129321795,0.29017038009034085,0.358225625741332,0.3600282730594255,0.19497809947255224,0.28769452201801643,0.2831313662046677,0.31074540708896925,1.0
