,last_price,buy_price,shares,cost,value,pnl,pnl_pct,weight
영원무역홀딩스,133800.0,130600,8,1044800,1070400.0,25600.0,2.4502297090352223,0.21448022009068923
동아쏘시오홀딩스,111700.0,111060,5,555300,558500.0,3200.0,0.5762650819376913,0.11190882186159373
삼성물산,182400.0,162600,3,487800,547200.0,59400.0,12.177121771217712,0.10964459681766175
강원랜드,17710.0,18670,30,560100,531300.0,-28800.0,-5.141938939475094,0.10645865184434154
LG유플러스,14520.0,14710,31,456010,450120.0,-5890.0,-1.291638341264446,0.09019229882961606
세아베스틸지주,27400.0,29050,16,464800,438400.0,-26400.0,-5.679862306368331,0.08784391674865298
KT,51100.0,54400,8,435200,408800.0,-26400.0,-6.0661764705882355,0.08191284937693737
오리온홀딩스,21100.0,20600,18,370800,379800.0,9000.0,2.4271844660194173,0.0761020063438376
현대지에프홀딩스,8010.0,8200,45,369000,360450.0,-8550.0,-2.317073170731707,0.0722247714234762
아모레퍼시픽홀딩스,27300.0,28400,9,255600,245700.0,-9900.0,-3.873239436619718,0.04923186666319352
