,vol_annual,beta,max_drawdown
세아베스틸지주,0.48626266933770346,0.7631808335927683,-0.48415672913117547
아모레퍼시픽홀딩스,0.4510777808928613,0.767104676581897,-0.5755605381165919
현대지에프홀딩스,0.35032617772870595,0.6851901310653673,-0.3873837444399515
영원무역홀딩스,0.31993465227747103,0.4932618718869003,-0.24563106796116507
삼성물산,0.3122056542780333,0.9626849708286818,-0.3659250585480094
동아쏘시오홀딩스,0.27609023344581707,0.287421345639628,-0.2628696692549203
오리온홀딩스,0.25510215228309485,0.40266930197738093,-0.23320312499999996
KT,0.23982064269715272,0.36176309026907727,-0.23583662714097497
강원랜드,0.23170362708704303,0.5190183905264848,-0.48197343453510433
LG유플러스,0.18816802908684038,0.32251608347076255,-0.217283950617284
