,vol_annual,beta,max_drawdown
세아베스틸지주,0.49640423960887553,0.7432661928897273,-0.48415672913117547
아모레퍼시픽홀딩스,0.45207274575165546,0.7833347375599599,-0.5755605381165919
현대지에프홀딩스,0.3493301885999184,0.698831029880433,-0.4190950920245399
영원무역홀딩스,0.3200287134353118,0.5033133303354972,-0.24563106796116507
삼성물산,0.31213576798359516,0.9572351769661201,-0.3659250585480094
동아쏘시오홀딩스,0.2778137109262215,0.2950872901280702,-0.28584858655084566
오리온홀딩스,0.25713025999411815,0.4098992423251606,-0.23036951501154734
KT,0.23992394753263685,0.36317612947796774,-0.2592592592592593
강원랜드,0.23263270292926141,0.5237821141914472,-0.4887640449438202
LG유플러스,0.18591564813863212,0.33726937530037115,-0.23614457831325297
