,last_price,buy_price,shares,cost,value,pnl,pnl_pct,weight
영원무역홀딩스,128400.0,130600,8,1044800,1027200.0,-17600.0,-1.6845329249617151,0.20701872479528888
동아쏘시오홀딩스,111000.0,111060,5,555300,555000.0,-300.0,-0.05402485143165856,0.11185299090866951
강원랜드,18320.0,18670,30,560100,549600.0,-10500.0,-1.8746652383502946,0.11076469153766624
삼성물산,160300.0,162600,3,487800,480900.0,-6900.0,-1.4145141451414514,0.09691910509545797
LG유플러스,14920.0,14710,31,456010,462520.0,6510.0,1.4276002719238612,0.09321485649563571
세아베스틸지주,28850.0,29050,16,464800,461600.0,-3200.0,-0.6884681583476765,0.09302944252872405
KT,55000.0,54400,8,435200,440000.0,4800.0,1.1029411764705883,0.08867624504471097
오리온홀딩스,20550.0,20600,18,370800,369900.0,-900.0,-0.24271844660194172,0.07454850691372406
현대지에프홀딩스,8110.0,8200,45,369000,364950.0,-4050.0,-1.097560975609756,0.07355089915697106
아모레퍼시픽홀딩스,27800.0,28400,9,255600,250200.0,-5400.0,-2.112676056338028,0.050424537523151555
