,last_price,buy_price,shares,cost,value,pnl,pnl_pct,weight
영원무역홀딩스,131700.0,130600,8,1044800,1053600.0,8800.0,0.8422664624808576,0.21347294712613868
동아쏘시오홀딩스,110400.0,111060,5,555300,552000.0,-3300.0,-0.5942733657482442,0.11184231853989042
강원랜드,17800.0,18670,30,560100,534000.0,-26100.0,-4.6598821638993035,0.10819528641358965
삼성물산,175000.0,162600,3,487800,525000.0,37200.0,7.626076260762607,0.10637177035043927
LG유플러스,14370.0,14710,31,456010,445470.0,-10540.0,-2.311352821210061,0.09025796673906701
세아베스틸지주,27350.0,29050,16,464800,437600.0,-27200.0,-5.851979345955249,0.08866340324828995
KT,53500.0,54400,8,435200,428000.0,-7200.0,-1.6544117647058825,0.0867183194475962
오리온홀딩스,20600.0,20600,18,370800,370800.0,0.0,0.0,0.07512886180179595
현대지에프홀딩스,7690.0,8200,45,369000,346050.0,-22950.0,-6.219512195121951,0.0701141926281324
아모레퍼시픽홀딩스,27000.0,28400,9,255600,243000.0,-12600.0,-4.929577464788732,0.04923493370506046
