,vol_annual,beta,max_drawdown
세아베스틸지주,0.4860565934137461,0.7609821669644334,-0.48415672913117547
아모레퍼시픽홀딩스,0.4507708718335998,0.7664067889839771,-0.5755605381165919
현대지에프홀딩스,0.3500920180601577,0.6844112656050547,-0.3873837444399515
영원무역홀딩스,0.31995102257314567,0.494711700264531,-0.24563106796116507
삼성물산,0.3122499129704239,0.9638511379632219,-0.3659250585480094
동아쏘시오홀딩스,0.27636726181939425,0.2848366332254148,-0.2628696692549203
오리온홀딩스,0.2549572050677108,0.40294286165681314,-0.23320312499999996
KT,0.2399684600331512,0.36330540769329117,-0.23583662714097497
강원랜드,0.23154552280233973,0.518632291477368,-0.48197343453510433
LG유플러스,0.19031064943241616,0.3266167973881259,-0.217283950617284
