,동아쏘시오홀딩스,세아베스틸지주,오리온홀딩스,아모레퍼시픽홀딩스,현대지에프홀딩스,영원무역홀딩스,삼성물산,KT,LG유플러스,강원랜드
동아쏘시오홀딩스,1.0,0.11978756305780786,0.1716102341816379,0.18551259623623706,0.2610265668141225,0.1404167771712472,0.1579873086646768,0.0945060342183143,0.17230398838630154,0.20750051657569485
세아베스틸지주,0.11978756305780786,1.0,0.13691132165272085,0.1405158993193399,0.19182322613839847,0.19255653509025977,0.15786005781473156,0.10036059264345994,0.14285364707313034,0.24311476708203222
오리온홀딩스,0.1716102341816379,0.13691132165272085,1.0,0.24345094896130356,0.4007340643578452,0.343721396550522,0.2531261327414237,0.24368987423408275,0.26353980914746933,0.28995099658756035
아모레퍼시픽홀딩스,0.18551259623623706,0.1405158993193399,0.24345094896130356,1.0,0.2767488021666688,0.1452325264163709,0.19732007354355546,0.12087133386355277,0.18817481443216352,0.35855802558319805
현대지에프홀딩스,0.2610265668141225,0.19182322613839847,0.4007340643578452,0.2767488021666688,1.0,0.3214281945509596,0.3633628872086296,0.24747111257755064,0.24671178195428564,0.3600743873221502
영원무역홀딩스,0.1404167771712472,0.19255653509025977,0.343721396550522,0.1452325264163709,0.3214281945509596,1.0,0.3233175323387846,0.1740440836425592,0.15995406881887891,0.1945112347513215
삼성물산,0.1579873086646768,0.15786005781473156,0.2531261327414237,0.19732007354355546,0.3633628872086296,0.3233175323387846,1.0,0.27371372263070587,0.22338093193598238,0.28809689852604453
KT,0.0945060342183143,0.10036059264345994,0.24368987423408275,0.12087133386355277,0.24747111257755064,0.1740440836425592,0.27371372263070587,1.0,0.4512584168046479,0.28326070974029444
LG유플러스,0.17230398838630154,0.14285364707313034,0.26353980914746933,0.18817481443216352,0.24671178195428564,0.15995406881887891,0.22338093193598238,0.4512584168046479,1.0,0.3131356708001177
강원랜드,0.20750051657569485,0.24311476708203222,0.28995099658756035,0.35855802558319805,0.3600743873221502,0.1945112347513215,0.28809689852604453,0.28326070974029444,0.3131356708001177,1.0
