,last_price,buy_price,shares,cost,value,pnl,pnl_pct,weight
영원무역홀딩스,132000.0,130600,8,1044800,1056000.0,11200.0,1.0719754977029097,0.2128302799443739
동아쏘시오홀딩스,111200.0,111060,5,555300,556000.0,700.0,0.12605798667387,0.11205836709192414
강원랜드,18050.0,18670,30,560100,541500.0,-18600.0,-3.320835565077665,0.1091359816192031
삼성물산,167800.0,162600,3,487800,503400.0,15600.0,3.198031980319803,0.10145716185984642
LG유플러스,14850.0,14710,31,456010,460350.0,4340.0,0.9517335146159076,0.0927807001632505
세아베스틸지주,27900.0,29050,16,464800,446400.0,-18400.0,-3.9586919104991396,0.08996916379466716
KT,54100.0,54400,8,435200,432800.0,-2400.0,-0.5514705882352942,0.08722816776508052
오리온홀딩스,20750.0,20600,18,370800,373500.0,2700.0,0.7281553398058253,0.07527661890077997
현대지에프홀딩스,7710.0,8200,45,369000,346950.0,-22050.0,-5.975609756097561,0.06992563032831489
아모레퍼시픽홀딩스,27200.0,28400,9,255600,244800.0,-10800.0,-4.225352112676056,0.0493379285325594
