,vol_annual,beta,max_drawdown
세아베스틸지주,0.492137484245569,0.7512284901581011,-0.48415672913117547
아모레퍼시픽홀딩스,0.4513622584218918,0.7739310231340587,-0.5755605381165919
현대지에프홀딩스,0.35004872179848445,0.6877463648892308,-0.40248471701833954
영원무역홀딩스,0.3202598680310533,0.5021622141867814,-0.24563106796116507
삼성물산,0.31230293949064286,0.9595263620014605,-0.3659250585480094
동아쏘시오홀딩스,0.27851359985774676,0.30020560404749297,-0.27926944971537004
오리온홀딩스,0.25676512009254543,0.4130484405572967,-0.23320312499999996
KT,0.2399450732717485,0.3664811914414692,-0.23583662714097497
강원랜드,0.23218923633877248,0.5224717478600606,-0.4887640449438202
LG유플러스,0.18634201911543838,0.32321627552138515,-0.217283950617284
