,vol_annual,beta,max_drawdown
세아베스틸지주,0.4865629211213817,0.7668087738568014,-0.48415672913117547
아모레퍼시픽홀딩스,0.4513819166021152,0.7697174685171146,-0.5755605381165919
현대지에프홀딩스,0.3503780748379533,0.683788765060846,-0.3873837444399515
영원무역홀딩스,0.3201517963024071,0.4942973141273625,-0.24563106796116507
삼성물산,0.31217507985543796,0.9617797707265607,-0.3659250585480094
동아쏘시오홀딩스,0.2762553867226604,0.2871717163815101,-0.2628696692549203
오리온홀딩스,0.2551475424515555,0.4014572072862441,-0.23320312499999996
KT,0.2398427200991298,0.36506322791016377,-0.23583662714097497
강원랜드,0.23186117469508438,0.5202294098960774,-0.48197343453510433
LG유플러스,0.18819084093181665,0.32159819316340255,-0.217283950617284
