,last_price,buy_price,shares,cost,value,pnl,pnl_pct,weight
영원무역홀딩스,133400.0,130600,8,1044800,1067200.0,22400.0,2.1439509954058193,0.21494850863359055
동아쏘시오홀딩스,111000.0,111060,5,555300,555000.0,-300.0,-0.05402485143165856,0.11178450364659179
삼성물산,178500.0,162600,3,487800,535500.0,47700.0,9.778597785977858,0.10785694000495477
강원랜드,17700.0,18670,30,560100,531000.0,-29100.0,-5.195500803427959,0.106950579164577
LG유플러스,14360.0,14710,31,456010,445160.0,-10850.0,-2.379333786539769,0.0896612426005708
세아베스틸지주,27650.0,29050,16,464800,442400.0,-22400.0,-4.819277108433735,0.08910534128513911
KT,51800.0,54400,8,435200,414400.0,-20800.0,-4.779411764705882,0.08346576272278854
오리온홀딩스,20800.0,20600,18,370800,374400.0,3600.0,0.9708737864077669,0.07540922191943056
현대지에프홀딩스,7850.0,8200,45,369000,353250.0,-15750.0,-4.2682926829268295,0.07114932596965504
아모레퍼시픽홀딩스,27400.0,28400,9,255600,246600.0,-9000.0,-3.5211267605633805,0.049668574052701864
