,weight,beta,risk_contrib_pct
영원무역홀딩스,0.21494850863359055,0.4942973141273625,28.445238399571988
동아쏘시오홀딩스,0.11178450364659179,0.2871717163815101,7.814225751246051
삼성물산,0.10785694000495477,0.9617797707265607,11.689563326019458
강원랜드,0.106950579164577,0.5202294098960774,8.256551558405963
LG유플러스,0.0896612426005708,0.32159819316340255,4.5708808659626925
세아베스틸지주,0.08910534128513911,0.7668087738568014,12.852383846310842
KT,0.08346576272278854,0.36506322791016377,5.2475966866601915
오리온홀딩스,0.07540922191943056,0.4014572072862441,6.175719779039834
현대지에프홀딩스,0.07114932596965504,0.683788765060846,9.115329544578952
아모레퍼시픽홀딩스,0.049668574052701864,0.7697174685171146,5.832510242204043
