date,close,volume,change
2015-09-15,22368,1514627,
2015-09-16,23153,1876538,0.03449299571766165
2015-09-17,23246,1368366,0.004008712452454811
2015-09-18,22784,1409527,-0.020074538991950896
2015-09-21,22506,1131048,-0.012276594901759951
2015-09-22,21443,4250200,-0.048383688540711615
2015-09-23,21074,2283067,-0.01735819860975775
2015-09-24,20843,1646211,-0.011021892717802195
2015-09-25,21028,982140,0.00883672249766793
2015-09-30,20935,1485836,-0.004432483486095002
2015-10-01,20750,1176189,-0.008876152794399373
2015-10-02,20796,1012459,0.0022144138447619953
2015-10-05,20750,1010786,-0.002214413844762047
2015-10-06,21074,1128279,0.015493806500628565
2015-10-07,21166,1070503,0.004356067494196773
2015-10-08,21305,1429784,0.006545666280342647
2015-10-12,21397,1136868,0.00430893833293848
2015-10-13,21259,1040990,-0.006470390165888751
2015-10-14,21028,1326938,-0.01092545216172335
2015-10-15,22090,2662317,0.04927013447482429
2015-10-16,21859,1207740,-0.01051228138416046
2015-10-19,21998,882227,0.006338804087059654
2015-10-20,21628,1278690,-0.016962768615166494
2015-10-21,21675,1980310,0.002170751146847036
2015-10-22,21767,1957048,0.004235538766094497
2015-10-23,20427,4265462,-0.0635375062637607
2015-10-26,20381,1614837,-0.002254460864696876
2015-10-27,20149,1373201,-0.011448434934613368
2015-10-28,19687,1942767,-0.023196139931678957
2015-10-29,20103,2167299,0.020910538221193237
2015-10-30,19965,1088956,-0.006888317143958676
2015-11-02,20149,788642,0.009173918854444558
2015-11-03,20519,1109909,0.018196626801981475
2015-11-04,20288,1028998,-0.011321707916795105
2015-11-05,20658,1200832,0.01807307532962626
2015-11-06,20149,1389685,-0.024947994214812634
2015-11-09,19965,750212,-0.009173918854444463
2015-11-10,20288,991431,0.01604883773963069
2015-11-11,19965,949039,-0.016048837739630797
2015-11-12,20196,664106,0.011503824481484713
2015-11-13,19826,843689,-0.018490357385963507
2015-11-16,19040,1645828,-0.040452178247486516
2015-11-17,19271,903910,0.01205934585256438
2015-11-18,19225,663781,-0.0023898598240759436
2015-11-19,19733,1088861,0.026080845795581134
2015-11-20,20843,3062057,0.054725799272244795
2015-11-23,20288,1709171,-0.026988582204718246
2015-11-24,21767,4272517,0.07036548317788467
2015-11-25,23015,7021012,0.05575111583650472
2015-11-26,23246,3951177,0.009986896952311402
2015-11-27,23754,4271929,0.021617863130532343
2015-11-30,23477,3040879,-0.01172971886867738
2015-12-01,23153,2953155,-0.013896856714309827
2015-12-02,23107,1334534,-0.0019887598426920616
2015-12-03,22922,2377842,-0.008038453851861799
2015-12-04,23800,3372276,0.0375884326029216
2015-12-07,23939,3066831,0.0058233474855588375
2015-12-08,23569,1859707,-0.015576638928737225
2015-12-09,23292,1390345,-0.011822335259377254
2015-12-10,23153,1862352,-0.0059855922058121725
2015-12-11,22691,1995243,-0.020155991669928548
2015-12-14,22183,2142087,-0.022642140335035872
2015-12-15,22645,1314266,0.02061284724408024
2015-12-16,22784,1671583,0.00611945822138817
2015-12-17,22876,1524584,0.004029790823504486
2015-12-18,22090,2373235,-0.03496330862104394
2015-12-21,23338,2302312,0.05495791595188976
2015-12-22,23939,3539495,0.025425994779072383
2015-12-23,23800,1430596,-0.005823347485558952
2015-12-24,23292,969840,-0.021575626702555466
2015-12-28,22737,951830,-0.024116400476871785
2015-12-29,22460,923716,-0.012257604187704588
2015-12-30,22691,1600718,0.01023242078883577
2016-01-04,22090,890075,-0.02684335266710697
2016-01-05,21998,1232873,-0.004173477297100907
2016-01-06,21351,2383569,-0.02985296314968116
2016-01-07,20889,1404232,-0.021875872356724363
2016-01-08,20750,1317950,-0.006676457951812065
2016-01-11,20334,1207145,-0.020251884823738065
2016-01-12,20519,991057,0.009056924318641265
2016-01-13,20612,1188290,0.004522144294367234
2016-01-14,21259,2254342,0.030906904652947268
2016-01-15,21212,2009148,-0.002213275844041434
2016-01-18,20612,1889186,-0.028693628808905747
2016-01-19,20334,2049410,-0.013579068613008588
2016-01-20,19595,1845605,-0.037019930201374465
2016-01-21,19872,1573521,0.01403727409947351
2016-01-22,20288,1422210,0.02071787250374725
2016-01-25,20242,932786,-0.0022699244881059844
2016-01-26,20149,984357,-0.004604994397080287
2016-01-27,21074,2026649,0.04488539380770668
2016-01-28,20519,2319462,-0.026688767005725346
2016-01-29,20242,1526024,-0.013591632404901062
2016-02-01,20843,1278368,0.029258506692824152
2016-02-02,20565,664556,-0.013427558777146263
2016-02-03,19826,1553685,-0.036596394071681665
2016-02-04,19780,1759194,-0.0023228814161396385
2016-02-05,19872,1705501,0.004640379556502301
2016-02-11,19364,1323792,-0.02589603367362034
2016-02-12,19641,1471068,0.014203546049615996
2016-02-15,19872,1090328,0.011692487624004173
2016-02-16,20011,1194148,0.006970416608358149
2016-02-17,20196,2601156,0.009202442637242705
2016-02-18,20796,3744009,0.02927609552480007
2016-02-19,21259,2764070,0.022019674597455758
2016-02-22,21582,1730150,0.015079298822616799
2016-02-23,21536,1182035,-0.0021336804792245947
2016-02-24,22229,3052533,0.03167178924645537
2016-02-25,21721,2117451,-0.023118208187216212
2016-02-26,22599,3407604,0.03962612299011082
2016-02-29,22645,1696988,0.0020334194965099077
2016-03-02,22969,1962509,0.014206403699440229
2016-03-03,22414,1741513,-0.024459717077781176
2016-03-04,22183,1435389,-0.010359533865739208
2016-03-07,21998,1222880,-0.008374689629172137
2016-03-08,22830,2266355,0.03712392040677921
2016-03-09,22368,1755365,-0.020444094490304453
2016-03-10,22645,1754520,0.012307710956777398
2016-03-11,23107,2141217,0.020196524918192127
2016-03-14,22830,2013260,-0.01206014138466506
2016-03-15,23107,1307705,0.012060141384665057
2016-03-16,22645,925883,-0.020196524918192117
2016-03-17,22830,948715,0.008136383533527032
2016-03-18,22784,1122406,-0.0020169253121388813
2016-03-21,23153,1791780,0.016065826539496043
2016-03-22,24401,3338966,0.05249975329684709
2016-03-23,24910,2676567,0.02064521420818052
2016-03-24,24494,1875475,-0.016841139674993472
2016-03-25,23616,1869206,-0.03650374118103357
2016-03-28,23061,1608525,-0.02378156938295742
2016-03-29,23754,1575558,0.029608058316943835
2016-03-30,24540,1602234,0.03255350193071688
2016-03-31,24586,2115387,0.0018727359623840064
2016-04-01,24355,921660,-0.009440007986643354
2016-04-04,24401,910075,0.0018869478074024504
2016-04-05,24355,643447,-0.0018869478074025241
2016-04-06,23939,1111316,-0.017228239095518037
2016-04-07,24956,2105032,0.04160534608555202
2016-04-08,25326,2473021,0.01471726177987688
2016-04-11,25279,1162766,-0.0018575244941825943
2016-04-12,25279,705898,0.0
2016-04-14,24817,1617783,-0.018445109329086835
2016-04-15,23153,6718712,-0.06940454043608596
2016-04-18,23153,1707542,0.0
2016-04-19,23153,1365290,0.0
2016-04-20,23477,1558079,0.013896856714309873
2016-04-21,24309,2285523,0.03482543366332685
2016-04-22,23939,830290,-0.015337723983709946
2016-04-25,23708,726243,-0.009696384237396228
2016-04-26,23939,1186450,0.009696384237396122
2016-04-27,23015,2200996,-0.039362750893783195
2016-04-28,22044,3582461,-0.04310572124821589
2016-04-29,22090,1538931,0.0020845614110368
2016-05-02,22137,872156,0.0021253993123135366
2016-05-03,22553,1494589,0.01861767804963224
2016-05-04,22414,1008310,-0.006182331164135222
2016-05-09,22090,1230551,-0.0145607461978104
2016-05-10,22553,1322683,0.020743077361945552
2016-05-11,22645,1027591,0.004070982214205737
2016-05-12,23431,1510846,0.03412085492511843
2016-05-13,22691,1526258,-0.0320915618341628
2016-05-16,22599,521103,-0.004062712587465531
2016-05-17,22553,679559,-0.0020375627176958434
2016-05-18,23015,835802,0.020278082475233345
2016-05-19,22645,862593,-0.016207100261027556
2016-05-20,23569,2017535,0.03999321222607344
2016-05-23,23523,708539,-0.001953623317356142
