,동아쏘시오홀딩스,세아베스틸지주,오리온홀딩스,아모레퍼시픽홀딩스,현대지에프홀딩스,영원무역홀딩스,삼성물산,KT,LG유플러스,강원랜드
동아쏘시오홀딩스,1.0,0.10789150325904122,0.17082737477486237,0.18794856499819362,0.2616210679666611,0.15103360152296827,0.16085141395875768,0.09419045676915135,0.17541935971861095,0.21019893527534966
세아베스틸지주,0.10789150325904122,1.0,0.1301658733442397,0.13659032271352267,0.18678193555222933,0.18933492535160407,0.14487543612821982,0.0955482531932736,0.13036940455549564,0.24027697196153197
오리온홀딩스,0.17082737477486237,0.1301658733442397,1.0,0.24406179213358123,0.3984684996430282,0.34290295914262126,0.2526914390903793,0.24871739667972398,0.27503412660563903,0.2934611071088224
아모레퍼시픽홀딩스,0.18794856499819362,0.13659032271352267,0.24406179213358123,1.0,0.2805766354962266,0.1500258093714197,0.20166946659289176,0.11852222850457704,0.1955143613726197,0.3616300033122351
현대지에프홀딩스,0.2616210679666611,0.18678193555222933,0.3984684996430282,0.2805766354962266,1.0,0.3209404437852571,0.36858052559552307,0.2414838359045988,0.24203764548231693,0.35952316240251864
영원무역홀딩스,0.15103360152296827,0.18933492535160407,0.34290295914262126,0.1500258093714197,0.3209404437852571,1.0,0.32994356311344325,0.17169275243849336,0.169028690517496,0.1939011346276362
삼성물산,0.16085141395875768,0.14487543612821982,0.2526914390903793,0.20166946659289176,0.36858052559552307,0.32994356311344325,1.0,0.2757111667511717,0.2344444775315217,0.2955643760871051
KT,0.09419045676915135,0.0955482531932736,0.24871739667972398,0.11852222850457704,0.2414838359045988,0.17169275243849336,0.2757111667511717,1.0,0.44923619560531036,0.2811215469868622
LG유플러스,0.17541935971861095,0.13036940455549564,0.27503412660563903,0.1955143613726197,0.24203764548231693,0.169028690517496,0.2344444775315217,0.44923619560531036,1.0,0.31854944232638105
강원랜드,0.21019893527534966,0.24027697196153197,0.2934611071088224,0.3616300033122351,0.35952316240251864,0.1939011346276362,0.2955643760871051,0.2811215469868622,0.31854944232638105,1.0
