,weight,beta,risk_contrib_pct
영원무역홀딩스,0.2017715307522768,0.5081705796385564,26.216482385893887
강원랜드,0.11221774025866012,0.5236507696616689,8.988315903921809
동아쏘시오홀딩스,0.1103048197280326,0.30041855100615583,7.9916875473347675
삼성물산,0.10429575414812658,0.9607301605063905,11.435538614735023
LG유플러스,0.09642782883519774,0.32985723153884833,5.047135178619867
KT,0.09148750363870753,0.3640812934679083,5.930354138650926
세아베스틸지주,0.09082213997588057,0.7361232458603334,13.444036269930528
오리온홀딩스,0.07421715806545515,0.41065218617403715,6.143986892480813
현대지에프홀딩스,0.0683037385120805,0.690758969831169,8.745436797736094
아모레퍼시픽홀딩스,0.0501517860855824,0.7773045510508909,6.05702627069629
