,last_price,buy_price,shares,cost,value,pnl,pnl_pct,weight
영원무역홀딩스,121300.0,130600,8,1044800,970400.0,-74400.0,-7.120980091883614,0.2017715307522768
강원랜드,17990.0,18670,30,560100,539700.0,-20400.0,-3.642206748794858,0.11221774025866012
동아쏘시오홀딩스,106100.0,111060,5,555300,530500.0,-24800.0,-4.466054385017108,0.1103048197280326
삼성물산,167200.0,162600,3,487800,501600.0,13800.0,2.8290282902829027,0.10429575414812658
LG유플러스,14960.0,14710,31,456010,463760.0,7750.0,1.699524133242692,0.09642782883519774
KT,55000.0,54400,8,435200,440000.0,4800.0,1.1029411764705883,0.09148750363870753
세아베스틸지주,27300.0,29050,16,464800,436800.0,-28000.0,-6.024096385542169,0.09082213997588057
오리온홀딩스,19830.0,20600,18,370800,356940.0,-13860.0,-3.737864077669903,0.07421715806545515
현대지에프홀딩스,7300.0,8200,45,369000,328500.0,-40500.0,-10.975609756097562,0.0683037385120805
아모레퍼시픽홀딩스,26800.0,28400,9,255600,241200.0,-14400.0,-5.633802816901409,0.0501517860855824
