,last_price,buy_price,shares,cost,value,pnl,pnl_pct,weight
영원무역홀딩스,126100.0,130600,8,1044800,1008800.0,-36000.0,-3.4456355283307807,0.20552187235152225
동아쏘시오홀딩스,113100.0,111060,5,555300,565500.0,10200.0,1.8368449486763911,0.11520878153725797
강원랜드,18030.0,18670,30,560100,540900.0,-19200.0,-3.4279592929833957,0.11019704674359476
삼성물산,169100.0,162600,3,487800,507300.0,19500.0,3.997539975399754,0.10335175044005476
LG유플러스,14830.0,14710,31,456010,459730.0,3720.0,0.8157715839564922,0.0936603592150727
세아베스틸지주,27600.0,29050,16,464800,441600.0,-23200.0,-4.991394148020654,0.08996675141795424
KT,54000.0,54400,8,435200,432000.0,-3200.0,-0.7352941176470588,0.08801095247408566
오리온홀딩스,20550.0,20600,18,370800,369900.0,-900.0,-0.24271844660194172,0.07535937805593584
현대지에프홀딩스,7470.0,8200,45,369000,336150.0,-32850.0,-8.902439024390244,0.0684835223938979
아모레퍼시픽홀딩스,27400.0,28400,9,255600,246600.0,-9000.0,-3.5211267605633805,0.0502395853706239
