,last_price,buy_price,shares,cost,value,pnl,pnl_pct,weight
영원무역홀딩스,132900.0,130600,8,1044800,1063200.0,18400.0,1.761102603369066,0.2166947929659794
동아쏘시오홀딩스,108400.0,111060,5,555300,542000.0,-13300.0,-2.3951017468035296,0.11046705961960199
강원랜드,17960.0,18670,30,560100,538800.0,-21300.0,-3.8028923406534547,0.10981485557756744
삼성물산,166400.0,162600,3,487800,499200.0,11400.0,2.337023370233702,0.10174383055738988
LG유플러스,14440.0,14710,31,456010,447640.0,-8370.0,-1.8354860639021073,0.09123519293010818
세아베스틸지주,27200.0,29050,16,464800,435200.0,-29600.0,-6.368330464716007,0.08869974971669888
KT,53300.0,54400,8,435200,426400.0,-8800.0,-2.0220588235294117,0.08690618860110386
오리온홀딩스,20700.0,20600,18,370800,372600.0,1800.0,0.48543689320388345,0.07594100814439797
현대지에프홀딩스,7490.0,8200,45,369000,337050.0,-31950.0,-8.658536585365853,0.06869542886492039
아모레퍼시픽홀딩스,27150.0,28400,9,255600,244350.0,-11250.0,-4.401408450704225,0.04980189302223201
