,last_price,buy_price,shares,cost,value,pnl,pnl_pct,weight
영원무역홀딩스,129500.0,130600,8,1044800,1036000.0,-8800.0,-0.8422664624808576,0.20837817017416474
강원랜드,18570.0,18670,30,560100,557100.0,-3000.0,-0.5356186395286556,0.112053550776088
동아쏘시오홀딩스,110600.0,111060,5,555300,553000.0,-2300.0,-0.4141905276427157,0.11122888813350684
삼성물산,162700.0,162600,3,487800,488100.0,300.0,0.06150061500615006,0.09817508191313687
세아베스틸지주,28900.0,29050,16,464800,462400.0,-2400.0,-0.5163511187607573,0.09300585510476232
LG유플러스,14780.0,14710,31,456010,458180.0,2170.0,0.4758667573079538,0.09215705599459344
KT,54100.0,54400,8,435200,432800.0,-2400.0,-0.5514705882352942,0.0870521930997862
오리온홀딩스,20550.0,20600,18,370800,369900.0,-900.0,-0.24271844660194172,0.0744006613392119
현대지에프홀딩스,8020.0,8200,45,369000,360900.0,-8100.0,-2.195121951219512,0.07259042627013132
아모레퍼시픽홀딩스,28150.0,28400,9,255600,253350.0,-2250.0,-0.8802816901408451,0.050958117194618374
