,vol_annual,beta,max_drawdown
세아베스틸지주,0.49664575427752905,0.7437685915183825,-0.48415672913117547
아모레퍼시픽홀딩스,0.4520730471313156,0.7824664483289725,-0.5755605381165919
현대지에프홀딩스,0.3489915880911159,0.6992782998799385,-0.4190950920245399
영원무역홀딩스,0.3203494329605856,0.5032890228493323,-0.24563106796116507
삼성물산,0.3120477950782001,0.9564689318693143,-0.3659250585480094
동아쏘시오홀딩스,0.2776606276278422,0.29517384044702233,-0.28584858655084566
오리온홀딩스,0.25732472662312045,0.40963349864136483,-0.23036951501154734
KT,0.2397243728227144,0.3642576782749566,-0.2592592592592593
강원랜드,0.23249516806966553,0.523119324101559,-0.4887640449438202
LG유플러스,0.18595250459478968,0.3377911018408106,-0.23919999999999997
