,동아쏘시오홀딩스,세아베스틸지주,오리온홀딩스,아모레퍼시픽홀딩스,현대지에프홀딩스,영원무역홀딩스,삼성물산,KT,LG유플러스,강원랜드
동아쏘시오홀딩스,1.0,0.1089892635863212,0.1660198570945395,0.18815528555216524,0.2608101635519097,0.1466297960336028,0.16195975133660792,0.09738425287699687,0.18138869672923724,0.2067988572831541
세아베스틸지주,0.1089892635863212,1.0,0.12785048027959273,0.13720533028577225,0.18684211475335755,0.18958236602408815,0.14719576667818268,0.0956532863494478,0.12790471263429923,0.2387982944806833
오리온홀딩스,0.1660198570945395,0.12785048027959273,1.0,0.24343835068100556,0.3950549442625596,0.3355585794938542,0.25238684982310006,0.2536034735864418,0.2798884868429,0.29234093432124775
아모레퍼시픽홀딩스,0.18815528555216524,0.13720533028577225,0.24343835068100556,1.0,0.28087297243671305,0.14374526706828172,0.20025029675057207,0.11760456626598523,0.19991242859949807,0.3610988116881236
현대지에프홀딩스,0.2608101635519097,0.18684211475335755,0.3950549442625596,0.28087297243671305,1.0,0.31759684822582723,0.3715028931927224,0.24078089760229343,0.24355540855252172,0.35962385113281853
영원무역홀딩스,0.1466297960336028,0.18958236602408815,0.3355585794938542,0.14374526706828172,0.31759684822582723,1.0,0.32217554125473585,0.1679907102022796,0.17407012395177812,0.19744503604742147
삼성물산,0.16195975133660792,0.14719576667818268,0.25238684982310006,0.20025029675057207,0.3715028931927224,0.32217554125473585,1.0,0.27482446862633153,0.2388241474873397,0.2941817303170171
KT,0.09738425287699687,0.0956532863494478,0.2536034735864418,0.11760456626598523,0.24078089760229343,0.1679907102022796,0.27482446862633153,1.0,0.450080670244469,0.2854915138625563
LG유플러스,0.18138869672923724,0.12790471263429923,0.2798884868429,0.19991242859949807,0.24355540855252172,0.17407012395177812,0.2388241474873397,0.450080670244469,1.0,0.3217928126380889
강원랜드,0.2067988572831541,0.2387982944806833,0.29234093432124775,0.3610988116881236,0.35962385113281853,0.19744503604742147,0.2941817303170171,0.2854915138625563,0.3217928126380889,1.0
