,last_price,buy_price,shares,cost,value,pnl,pnl_pct,weight
영원무역홀딩스,120800.0,130600,8,1044800,966400.0,-78400.0,-7.503828483920367,0.19898530671410689
동아쏘시오홀딩스,108800.0,111060,5,555300,544000.0,-11300.0,-2.0349360705924724,0.11201159649469593
강원랜드,18080.0,18670,30,560100,542400.0,-17700.0,-3.160149973219068,0.1116821506226527
삼성물산,161500.0,162600,3,487800,484500.0,-3300.0,-0.6765067650676507,0.09976032812808855
LG유플러스,15290.0,14710,31,456010,473990.0,17980.0,3.9428959891230457,0.09759628055610463
세아베스틸지주,28650.0,29050,16,464800,458400.0,-6400.0,-1.376936316695353,0.09438624234038348
KT,55300.0,54400,8,435200,442400.0,7200.0,1.6544117647058825,0.09109178361995124
오리온홀딩스,19750.0,20600,18,370800,355500.0,-15300.0,-4.12621359223301,0.07319875469460367
현대지에프홀딩스,7650.0,8200,45,369000,344250.0,-24750.0,-6.707317073170732,0.07088233840679976
아모레퍼시픽홀딩스,27200.0,28400,9,255600,244800.0,-10800.0,-4.225352112676056,0.05040521842261316
