,동아쏘시오홀딩스,세아베스틸지주,오리온홀딩스,아모레퍼시픽홀딩스,현대지에프홀딩스,영원무역홀딩스,삼성물산,KT,LG유플러스,강원랜드
동아쏘시오홀딩스,1.0,0.10841752851640038,0.17120882266334714,0.18823824728758531,0.2624777834218429,0.15121070395260758,0.16118358699886592,0.09406719431418357,0.17469161734295283,0.21105706511978586
세아베스틸지주,0.10841752851640038,1.0,0.13026249490036745,0.13649887997952778,0.18661090898486335,0.18874759954763684,0.14538525839953653,0.09604488678119266,0.12931355154432647,0.2408464907583738
오리온홀딩스,0.17120882266334714,0.13026249490036745,1.0,0.2440972341238666,0.398669957216061,0.3429019123343932,0.2529847439293612,0.2489623405074795,0.274524162276798,0.29381643489393006
아모레퍼시픽홀딩스,0.18823824728758531,0.13649887997952778,0.2440972341238666,1.0,0.28039696258100233,0.14951342739590393,0.2020710146294844,0.11897130632970443,0.1947497875062556,0.36194094118901043
현대지에프홀딩스,0.2624777834218429,0.18661090898486335,0.398669957216061,0.28039696258100233,1.0,0.31978684832882276,0.36962523332196,0.24259487011220457,0.2401599428129647,0.36058665111427307
영원무역홀딩스,0.15121070395260758,0.18874759954763684,0.3429019123343932,0.14951342739590393,0.31978684832882276,1.0,0.3309723094991703,0.17310365816423443,0.16746695179563645,0.19437573809762765
삼성물산,0.16118358699886592,0.14538525839953653,0.2529847439293612,0.2020710146294844,0.36962523332196,0.3309723094991703,1.0,0.27537674810888646,0.23489799816123522,0.29573656456455866
KT,0.09406719431418357,0.09604488678119266,0.2489623405074795,0.11897130632970443,0.24259487011220457,0.17310365816423443,0.27537674810888646,1.0,0.45078447729802545,0.2808105513511139
LG유플러스,0.17469161734295283,0.12931355154432647,0.274524162276798,0.1947497875062556,0.2401599428129647,0.16746695179563645,0.23489799816123522,0.45078447729802545,1.0,0.31810189856343996
강원랜드,0.21105706511978586,0.2408464907583738,0.29381643489393006,0.36194094118901043,0.36058665111427307,0.19437573809762765,0.29573656456455866,0.2808105513511139,0.31810189856343996,1.0
