,동아쏘시오홀딩스,세아베스틸지주,오리온홀딩스,아모레퍼시픽홀딩스,현대지에프홀딩스,영원무역홀딩스,삼성물산,KT,LG유플러스,강원랜드
동아쏘시오홀딩스,1.0,0.10708618690511462,0.17913202740361864,0.18451108080344455,0.27120294664890193,0.14257332224677444,0.16650550356756466,0.09677674867348252,0.15399416533740184,0.19896113050735997
세아베스틸지주,0.10708618690511462,1.0,0.1459195588658535,0.14348128116370168,0.19240056405041966,0.19305104829594405,0.15923168458246745,0.10664260085123249,0.14624592059015235,0.239843440486505
오리온홀딩스,0.17913202740361864,0.1459195588658535,1.0,0.23982010822368893,0.40632866055093203,0.3521552942145699,0.2583349543448894,0.23752989927755,0.2560532915241778,0.2884918099572232
아모레퍼시픽홀딩스,0.18451108080344455,0.14348128116370168,0.23982010822368893,1.0,0.27267876824562964,0.1460157851106147,0.1940960164724798,0.11801122622628357,0.17759003172537685,0.35668268363009503
현대지에프홀딩스,0.27120294664890193,0.19240056405041966,0.40632866055093203,0.27267876824562964,1.0,0.33083525864684904,0.3725385400134165,0.24051391840392067,0.23119612771258924,0.35302019334174384
영원무역홀딩스,0.14257332224677444,0.19305104829594405,0.3521552942145699,0.1460157851106147,0.33083525864684904,1.0,0.32960460630581734,0.1802708151987893,0.16573835181220087,0.19278956708248168
삼성물산,0.16650550356756466,0.15923168458246745,0.2583349543448894,0.1940960164724798,0.3725385400134165,0.32960460630581734,1.0,0.26855251004928005,0.2194431806984619,0.2804223666932742
KT,0.09677674867348252,0.10664260085123249,0.23752989927755,0.11801122622628357,0.24051391840392067,0.1802708151987893,0.26855251004928005,1.0,0.4561883401301252,0.2809602889671922
LG유플러스,0.15399416533740184,0.14624592059015235,0.2560532915241778,0.17759003172537685,0.23119612771258924,0.16573835181220087,0.2194431806984619,0.4561883401301252,1.0,0.30392894712210206
강원랜드,0.19896113050735997,0.239843440486505,0.2884918099572232,0.35668268363009503,0.35302019334174384,0.19278956708248168,0.2804223666932742,0.2809602889671922,0.30392894712210206,1.0
