,last_price,buy_price,shares,cost,value,pnl,pnl_pct,weight
영원무역홀딩스,124400.0,130600,8,1044800,995200.0,-49600.0,-4.747320061255743,0.20447116303246843
동아쏘시오홀딩스,109500.0,111060,5,555300,547500.0,-7800.0,-1.4046461372231227,0.112487903698027
강원랜드,18210.0,18670,30,560100,546300.0,-13800.0,-2.4638457418318156,0.11224135486800392
삼성물산,162800.0,162600,3,487800,488400.0,600.0,0.12300123001230012,0.10034537381939065
LG유플러스,15220.0,14710,31,456010,471820.0,15810.0,3.467029231815092,0.0969388908179052
KT,55100.0,54400,8,435200,440800.0,5600.0,1.2867647058823528,0.09056560356180876
세아베스틸지주,27500.0,29050,16,464800,440000.0,-24800.0,-5.335628227194492,0.09040123767512671
오리온홀딩스,19940.0,20600,18,370800,358920.0,-11880.0,-3.203883495145631,0.07374275505990109
현대지에프홀딩스,7500.0,8200,45,369000,337500.0,-31500.0,-8.536585365853659,0.06934185844398924
아모레퍼시픽홀딩스,26750.0,28400,9,255600,240750.0,-14850.0,-5.809859154929577,0.04946385902337899
