,vol_annual,beta,max_drawdown
세아베스틸지주,0.49641882560463363,0.735438664275622,-0.48415672913117547
아모레퍼시픽홀딩스,0.4519241845999743,0.7837226393023596,-0.5755605381165919
현대지에프홀딩스,0.34935176897759823,0.6932916331323852,-0.4094718378483726
영원무역홀딩스,0.3191853607421905,0.5098165606298878,-0.24563106796116507
삼성물산,0.31208131715461956,0.9595592816928497,-0.3659250585480094
동아쏘시오홀딩스,0.2781996913764894,0.2995121912096203,-0.27926944971537004
오리온홀딩스,0.2565161628830103,0.41315057725155035,-0.23320312499999996
KT,0.23997778571436132,0.36439392592073794,-0.2592592592592593
강원랜드,0.2325439000381125,0.5249135703344879,-0.4887640449438202
LG유플러스,0.18683943037652717,0.33118523507106923,-0.22049180327868856
