,weight,beta,risk_contrib_pct
영원무역홀딩스,0.20194512070355075,0.5098165606298879,26.243230192024626
강원랜드,0.11262324039236483,0.524913570334488,9.048948840585583
동아쏘시오홀딩스,0.10909462941232968,0.2995121912096203,7.867652109105211
삼성물산,0.10153630293438454,0.9595592816928497,11.067524639760903
LG유플러스,0.09689482233756906,0.33118523507106934,5.0936384652240205
KT,0.09253730096754931,0.3643939259207379,6.004460282097853
세아베스틸지주,0.09003177837817523,0.7354386642756221,13.258618074539083
오리온홀딩스,0.07422610671020709,0.41315057725155035,6.175299608210354
현대지에프홀딩스,0.06934033766092763,0.6932916331323852,8.905355223353556
아모레퍼시픽홀딩스,0.0517703605029419,0.7837226393023596,6.335272565098814
