,vol_annual,beta,max_drawdown
세아베스틸지주,0.4834014624302668,0.7534823850878851,-0.48415672913117547
아모레퍼시픽홀딩스,0.45093599641443444,0.7672449947438111,-0.5755605381165919
현대지에프홀딩스,0.3569668519154253,0.6912609651253038,-0.37241093620546806
영원무역홀딩스,0.320734882655152,0.4948156817192807,-0.24563106796116507
삼성물산,0.3147800269884427,0.9590844774818127,-0.3659250585480094
동아쏘시오홀딩스,0.2773911623406993,0.2818198747605419,-0.2628696692549203
오리온홀딩스,0.2553780987104656,0.4057634357715986,-0.23320312499999996
KT,0.24004017223063445,0.3575356351701872,-0.23583662714097497
강원랜드,0.23155075374036754,0.5181087853389281,-0.48197343453510433
LG유플러스,0.19040871546303242,0.32529936413147625,-0.217283950617284
