,last_price,buy_price,shares,cost,value,pnl,pnl_pct,weight
영원무역홀딩스,143000.0,130600,8,1044800,1144000.0,99200.0,9.494640122511486,0.21934786193355907
삼성물산,195900.0,162600,3,487800,587700.0,99900.0,20.479704797047972,0.11268421193911947
동아쏘시오홀딩스,113600.0,111060,5,555300,568000.0,12700.0,2.2870520439402124,0.10890698040057828
강원랜드,18000.0,18670,30,560100,540000.0,-20100.0,-3.5886448848419925,0.1035383264371695
LG유플러스,14910.0,14710,31,456010,462210.0,6200.0,1.3596193065941535,0.08862305530097057
세아베스틸지주,26950.0,29050,16,464800,431200.0,-33600.0,-7.228915662650602,0.08267727103649535
현대지에프홀딩스,9290.0,8200,45,369000,418050.0,49050.0,13.292682926829269,0.08015592105010871
KT,51700.0,54400,8,435200,413600.0,-21600.0,-4.963235294117647,0.07930268854520982
오리온홀딩스,22250.0,20600,18,370800,400500.0,29700.0,8.009708737864079,0.0767909254409007
아모레퍼시픽홀딩스,27800.0,28400,9,255600,250200.0,-5400.0,-2.112676056338028,0.04797275791588853
