name,code,n,period,ewma_sigma_daily,error
KT,030200,241,2024-09-19 ~ 2025-09-15,0.013782677387612624,
LG디스플레이,034220,241,2024-09-19 ~ 2025-09-15,0.03352554931650031,
LG유플러스,032640,241,2024-09-19 ~ 2025-09-15,0.019434529266736444,
강원랜드,035250,241,2024-09-19 ~ 2025-09-15,0.009617355259529779,
동아쏘시오홀딩스,000640,241,2024-09-19 ~ 2025-09-15,0.019866867528313067,
삼성물산,028260,241,2024-09-19 ~ 2025-09-15,0.024760834595131582,
세아베스틸지주,001430,241,2024-09-19 ~ 2025-09-15,0.020092141375253718,
아모레퍼시픽홀딩스,002790,241,2024-09-19 ~ 2025-09-15,0.015049838711329299,
영원무역홀딩스,009970,241,2024-09-19 ~ 2025-09-15,0.022528356342205676,
오리온홀딩스,001800,241,2024-09-19 ~ 2025-09-15,0.017612856907027217,
현대지에프홀딩스,005440,241,2024-09-19 ~ 2025-09-15,0.03578525323000656,
