,동아쏘시오홀딩스,세아베스틸지주,오리온홀딩스,아모레퍼시픽홀딩스,현대지에프홀딩스,영원무역홀딩스,삼성물산,KT,LG유플러스,강원랜드,LG디스플레이
동아쏘시오홀딩스,1.0,0.1076,0.2744,0.2135,0.3218,0.2074,0.146,0.0045,0.0379,0.1676,0.235
세아베스틸지주,0.1076,1.0,0.1709,0.2181,0.243,0.2247,0.108,0.0246,0.0692,0.2369,0.2059
오리온홀딩스,0.2744,0.1709,1.0,0.3452,0.4688,0.3768,0.3074,0.1623,0.234,0.1977,0.1822
아모레퍼시픽홀딩스,0.2135,0.2181,0.3452,1.0,0.2722,0.2609,0.4195,0.1072,0.0708,0.2517,0.301
현대지에프홀딩스,0.3218,0.243,0.4688,0.2722,1.0,0.3997,0.4156,0.1649,0.1568,0.3047,0.2016
영원무역홀딩스,0.2074,0.2247,0.3768,0.2609,0.3997,1.0,0.3068,0.1999,0.1474,0.1393,0.1484
삼성물산,0.146,0.108,0.3074,0.4195,0.4156,0.3068,1.0,0.1585,0.1375,0.2035,0.2639
KT,0.0045,0.0246,0.1623,0.1072,0.1649,0.1999,0.1585,1.0,0.4027,0.1616,0.042
LG유플러스,0.0379,0.0692,0.234,0.0708,0.1568,0.1474,0.1375,0.4027,1.0,0.195,0.1134
강원랜드,0.1676,0.2369,0.1977,0.2517,0.3047,0.1393,0.2035,0.1616,0.195,1.0,0.3245
LG디스플레이,0.235,0.2059,0.1822,0.301,0.2016,0.1484,0.2639,0.042,0.1134,0.3245,1.0
