name,code,n_obs,start_date,end_date,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9,nw_term,scale_10d
KT,030200,242,2024-09-19,2025-09-16,-0.08092709039176836,-0.025858208796319546,0.017733950446039065,0.049974557263660964,-0.03936884963504485,-0.048637461811517506,0.012668980658437379,-0.07507263404901562,-0.020256313790531475,0.7929973554946446,2.816020872604897
LG디스플레이,034220,242,2024-09-19,2025-09-16,-0.20281721705248196,0.027215314832071368,-0.1087594320683463,0.03648767714205427,0.03351781438945034,-0.0321009879316188,0.03539720149031086,-0.04810955933983268,0.06393532044248207,0.5926141060025322,2.4343666650743727
LG유플러스,032640,242,2024-09-19,2025-09-16,0.01852589095141714,-0.04264766935627087,0.17126826268344114,0.03146377680646439,0.0499621606483094,0.09568803658516105,-0.19333831318852213,0.027160307994246395,-0.04039327347789909,1.2559375031725362,3.543920855736675
강원랜드,035250,242,2024-09-19,2025-09-16,-0.0218731002316378,0.10481392449937203,0.07422777682624483,0.01869690853973725,-0.04021520644755829,-0.12985775576337527,0.030676415211985608,0.019346247855527327,-0.013337642145906605,1.1340612853684373,3.3675826424431476
동아쏘시오홀딩스,000640,242,2024-09-19,2025-09-16,-0.04645307820191783,0.08976918318705321,-0.0976976618643296,0.04353177437726677,0.04554983265405563,-0.010499988086441647,-0.05796817993703558,-0.10538969484941939,0.05419180529960454,0.9465279723213256,3.0765694731654047
삼성물산,028260,242,2024-09-19,2025-09-16,-0.03165201588112999,-0.036091513945501516,0.06863081633629133,0.007461218870659421,-0.0027468467512950824,0.06655827140046008,0.08223143618192409,-0.004639116102629735,-0.029264558121443573,1.0824466286296495,3.2900556661394798
세아베스틸지주,001430,242,2024-09-19,2025-09-16,0.04757014408190434,0.07482021792849032,-0.03235677767151062,-0.12948273935170573,0.16785523375709374,0.0016593547543880358,0.14004975077097617,0.037674163335784966,-0.0885924257300263,1.2552235802823493,3.5429134625084333
아모레퍼시픽홀딩스,002790,242,2024-09-19,2025-09-16,0.025865525975420255,0.006518019720886142,-0.025711408876434937,-0.029656401778992956,-0.013070065425492616,0.03150708745714754,0.07489658496035242,0.057104563022797816,0.052646590774086635,1.0758478226277473,3.280011924715743
영원무역홀딩스,009970,242,2024-09-19,2025-09-16,-0.18066695400282037,0.03770092095695778,0.017211635424070313,0.035377742676541854,0.06147940532106347,-0.04532846546116997,0.14156612081540992,0.0018850679483475516,-0.07674303855658972,0.897232262040999,2.995383551468825
오리온홀딩스,001800,242,2024-09-19,2025-09-16,-0.143425477695534,0.13982349177904163,0.00929987186685542,-0.036164649557438186,0.045748714060200056,0.018200444174340167,0.035318484626334606,-0.07479491702892524,-0.04310250843288573,0.9781356598165029,3.1275160428309605
현대지에프홀딩스,005440,242,2024-09-19,2025-09-16,0.041870682416310055,0.027251641211492397,-0.01743329338297035,0.04170743644931115,-0.031062826319844198,0.03373648863618266,0.010397661076865346,0.06557195569318451,0.03548219202259063,1.180102349207774,3.435261779264826
