,last_price,buy_price,shares,cost,value,pnl,pnl_pct,weight
영원무역홀딩스,128700.0,130600,8,1044800,1029600.0,-15200.0,-1.454823889739663,0.21329134902220748
동아쏘시오홀딩스,108900.0,111060,5,555300,544500.0,-10800.0,-1.9448946515397085,0.11279830957905204
강원랜드,17860.0,18670,30,560100,535800.0,-24300.0,-4.33851098018211,0.11099602253894597
삼성물산,168000.0,162600,3,487800,504000.0,16200.0,3.3210332103321036,0.10440835266821345
LG유플러스,13900.0,14710,31,456010,430900.0,-25110.0,-5.506458191706322,0.08926499834272456
세아베스틸지주,26400.0,29050,16,464800,422400.0,-42400.0,-9.122203098106713,0.08750414318859795
KT,52100.0,54400,8,435200,416800.0,-18400.0,-4.227941176470589,0.08634405038117335
오리온홀딩스,20500.0,20600,18,370800,369000.0,-1800.0,-0.48543689320388345,0.07644182963208485
현대지에프홀딩스,7360.0,8200,45,369000,331200.0,-37800.0,-10.24390243902439,0.06861120318196884
아모레퍼시픽홀딩스,27000.0,28400,9,255600,243000.0,-12600.0,-4.929577464788732,0.050339741465031486
