,vol_annual,beta,max_drawdown
세아베스틸지주,0.4891146677641475,0.7655339686131001,-0.48415672913117547
아모레퍼시픽홀딩스,0.4517330383587347,0.7722766066662414,-0.5755605381165919
현대지에프홀딩스,0.350756467477335,0.6864328617022043,-0.3889897156684815
영원무역홀딩스,0.32030943567848225,0.4908995794113073,-0.24563106796116507
삼성물산,0.3121976932077046,0.956778637779838,-0.3659250585480094
동아쏘시오홀딩스,0.2781860099443688,0.2959810683586766,-0.2657335898005935
오리온홀딩스,0.2562964842856443,0.4077740397276767,-0.23320312499999996
KT,0.24035678122475493,0.36601671242254996,-0.23583662714097497
강원랜드,0.2323821122157604,0.5230967827528101,-0.48197343453510433
LG유플러스,0.18744329624277126,0.32074387022676076,-0.217283950617284
