metric,value
total_cost_krw,4999410.0
total_value_krw,4827200.0
total_pnl_krw,-172210.0
total_pnl_pct,-0.034446064635627
vol_annual,0.1712196356187066
beta,0.5404142848771458
VaR95_1d_krw,85907.7876823064
VaR99_1d_krw,121312.20927259025
