metric,value
total_cost_krw,4999410.0
total_value_krw,4825140.0
total_pnl_krw,-174270.0
total_pnl_pct,-0.03485811325736437
vol_annual,0.1701585220214084
beta,0.5427965348201645
VaR95_1d_krw,85338.95043952677
VaR99_1d_krw,120508.94213581661
