,vol_annual,beta,max_drawdown
세아베스틸지주,0.49630297164493087,0.732468454556756,-0.48415672913117547
아모레퍼시픽홀딩스,0.4524209581541117,0.7852448629401919,-0.5755605381165919
현대지에프홀딩스,0.34969699698809625,0.6938298996724297,-0.4094718378483726
영원무역홀딩스,0.31945765298434314,0.5114413632271942,-0.24563106796116507
삼성물산,0.31225794153176417,0.9588147543800608,-0.3659250585480094
동아쏘시오홀딩스,0.2783037022624449,0.29832970234598033,-0.27926944971537004
오리온홀딩스,0.2568487442678101,0.41324625610627835,-0.23320312499999996
KT,0.24026407072564454,0.3651817612347893,-0.2592592592592593
강원랜드,0.23259107092177808,0.5267759292832972,-0.4887640449438202
LG유플러스,0.186464786309134,0.32961881297789425,-0.22049180327868856
