,last_price,buy_price,shares,cost,value,pnl,pnl_pct,weight
영원무역홀딩스,120700.0,130600,8,1044800,965600.0,-79200.0,-7.580398162327719,0.20011854578312754
동아쏘시오홀딩스,107100.0,111060,5,555300,535500.0,-19800.0,-3.565640194489465,0.11098123577761475
강원랜드,17840.0,18670,30,560100,535200.0,-24900.0,-4.445634708087842,0.11091906141583456
삼성물산,160500.0,162600,3,487800,481500.0,-6300.0,-1.2915129151291513,0.099789850657183
LG유플러스,15400.0,14710,31,456010,477400.0,21390.0,4.6906866077498295,0.0989401343795206
세아베스틸지주,28250.0,29050,16,464800,452000.0,-12800.0,-2.753872633390706,0.09367603841546567
KT,55400.0,54400,8,435200,443200.0,8000.0,1.8382352941176472,0.09185225713658049
오리온홀딩스,19630.0,20600,18,370800,353340.0,-17460.0,-4.70873786407767,0.07322896330469168
현대지에프홀딩스,7530.0,8200,45,369000,338850.0,-30150.0,-8.170731707317074,0.07022594163070917
아모레퍼시픽홀딩스,26950.0,28400,9,255600,242550.0,-13050.0,-5.105633802816902,0.05026797149927256
