,vol_annual,beta,max_drawdown
세아베스틸지주,0.48686427304276114,0.7691399872236407,-0.48415672913117547
아모레퍼시픽홀딩스,0.451678146863808,0.7701555396717676,-0.5755605381165919
현대지에프홀딩스,0.3506177813788402,0.6848962896688982,-0.3873837444399515
영원무역홀딩스,0.3203546327946511,0.4943559696263987,-0.24563106796116507
삼성물산,0.31220772895084076,0.9609770041488497,-0.3659250585480094
동아쏘시오홀딩스,0.2764403834411098,0.2872832261484582,-0.2628696692549203
오리온홀딩스,0.25529140097390285,0.4012217800607096,-0.23320312499999996
KT,0.23954756165328372,0.3687528187918569,-0.23583662714097497
강원랜드,0.23201120760176266,0.5214379259455214,-0.48197343453510433
LG유플러스,0.18828008358926915,0.32289931519980825,-0.217283950617284
