,vol_annual,beta,max_drawdown
세아베스틸지주,0.49675808979440356,0.7355473735917021,-0.48415672913117547
아모레퍼시픽홀딩스,0.4522203976818867,0.7836154087413703,-0.5755605381165919
현대지에프홀딩스,0.34947475148947743,0.6938951017188236,-0.4094718378483726
영원무역홀딩스,0.3193169249529072,0.5103081195885399,-0.24563106796116507
삼성물산,0.3120970022505016,0.9590241486202205,-0.3659250585480094
동아쏘시오홀딩스,0.2783808292162173,0.29967756818924085,-0.27926944971537004
오리온홀딩스,0.25667302315572543,0.4130189618395448,-0.23320312499999996
KT,0.24011705577986442,0.36463677177006204,-0.2592592592592593
강원랜드,0.23265149160817272,0.5252586353354437,-0.4887640449438202
LG유플러스,0.18695916292461254,0.33132420393174983,-0.22049180327868856
