,last_price,buy_price,shares,cost,value,pnl,pnl_pct,weight
영원무역홀딩스,122300.0,130600,8,1044800,978400.0,-66400.0,-6.355283307810107,0.20368990169422366
강원랜드,18140.0,18670,30,560100,544200.0,-15900.0,-2.8387787895018746,0.11329522128168082
동아쏘시오홀딩스,104900.0,111060,5,555300,524500.0,-30800.0,-5.5465514136502785,0.10919394259875338
삼성물산,159000.0,162600,3,487800,477000.0,-10800.0,-2.214022140221402,0.09930507267798924
LG유플러스,15010.0,14710,31,456010,465310.0,9300.0,2.0394289598912305,0.0968713697438054
KT,55700.0,54400,8,435200,445600.0,10400.0,2.389705882352941,0.09276800919352622
세아베스틸지주,26950.0,29050,16,464800,431200.0,-33600.0,-7.228915662650602,0.0897701202070209
오리온홀딩스,19640.0,20600,18,370800,353520.0,-17280.0,-4.660194174757281,0.07359817461870599
현대지에프홀딩스,7490.0,8200,45,369000,337050.0,-31950.0,-8.658536585365853,0.07016933909039051
아모레퍼시픽홀딩스,27400.0,28400,9,255600,246600.0,-9000.0,-3.5211267605633805,0.051338848893903874
