,vol_annual,beta,max_drawdown
세아베스틸지주,0.49398457339373647,0.7351576099972398,-0.48415672913117547
아모레퍼시픽홀딩스,0.45205546627188836,0.7760980254295617,-0.5755605381165919
현대지에프홀딩스,0.3494491755766722,0.6900469128128132,-0.4094718378483726
영원무역홀딩스,0.31934964357396783,0.5075894608635024,-0.24563106796116507
삼성물산,0.31223582962529967,0.9584084782788828,-0.3659250585480094
동아쏘시오홀딩스,0.27894676168799004,0.30496846425928625,-0.27926944971537004
오리온홀딩스,0.2562926520587167,0.41155673983670227,-0.23320312499999996
KT,0.24006197544871083,0.3653124789563286,-0.23784494086727992
강원랜드,0.23266974465366244,0.523888598021818,-0.4887640449438202
LG유플러스,0.18685913911479557,0.33043976689764437,-0.217283950617284
