,last_price,buy_price,shares,cost,value,pnl,pnl_pct,weight
영원무역홀딩스,122400.0,130600,8,1044800,979200.0,-65600.0,-6.278713629402756,0.20163498960113665
동아쏘시오홀딩스,109100.0,111060,5,555300,545500.0,-9800.0,-1.76481181343418,0.11232831579597637
강원랜드,18120.0,18670,30,560100,543600.0,-16500.0,-2.945902517407606,0.11193707143298395
삼성물산,166600.0,162600,3,487800,499800.0,12000.0,2.4600246002460024,0.10291785927558017
LG유플러스,15060.0,14710,31,456010,466860.0,10850.0,2.379333786539769,0.09613491752980664
세아베스틸지주,27750.0,29050,16,464800,444000.0,-20800.0,-4.475043029259897,0.0914276300887507
KT,55100.0,54400,8,435200,440800.0,5600.0,1.2867647058823528,0.09076869221423718
오리온홀딩스,19980.0,20600,18,370800,359640.0,-11160.0,-3.0097087378640777,0.07405638037188807
현대지에프홀딩스,7380.0,8200,45,369000,332100.0,-36900.0,-10.0,0.0683853962893561
아모레퍼시픽홀딩스,27200.0,28400,9,255600,244800.0,-10800.0,-4.225352112676056,0.050408747400284164
