name,name_key,shares,close,position_value,ewma_sigma_daily,scale_10d,sigma_10d,z,var_individual,cvar,cvar_port_pct,cvar_pos_pct,note,last_date
영원무역홀딩스,영원무역홀딩스,16.0,134600.0,2153600.0,0.0213707754418852,2.973228663601172,0.06354020210719707,2.33,318837.6176712789,221571.6999299358,0.24614788633885368,0.10288433317697614,,2025-10-13
LG디스플레이,LG디스플레이,84.0,15190.0,1275960.0,0.0357336933512915,2.577023215107761,0.09208655732782005,2.33,273772.1193930523,149227.54716785814,0.16577949860255203,0.11695315461915588,,2025-10-13
삼성물산,삼성물산,6.0,201500.0,1209000.0,0.0220721007425191,3.201618071112365,0.0706664366046618,2.33,199065.23192223418,114831.71436392222,0.12756856486764523,0.09498073975510522,,2025-10-13
현대지에프홀딩스,현대지에프홀딩스,90.0,7720.0,694800.0,0.026151798608896,3.3662347487300397,0.08803309321905563,2.33,142515.36608283766,92691.65996790165,0.10297279025053034,0.13340768561874158,,2025-10-13
세아베스틸지주,세아베스틸지주,32.0,25000.0,800000.0,0.0284456492015611,3.534182976741992,0.10053212917053168,2.33,187391.88877387106,86911.72871849527,0.09655176328420227,0.10863966089811909,,2025-10-13
동아쏘시오홀딩스,동아쏘시오홀딩스,10.0,109200.0,1092000.0,0.0181495349149322,3.1224676696677043,0.05667133599138099,2.33,144192.28044303012,62634.01219729034,0.06958122233191401,0.057357154026822656,,2025-10-13
오리온홀딩스,오리온홀딩스,36.0,19480.0,701280.0,0.0142375056843598,3.221570607883714,0.04586712984231083,2.33,74946.08290085068,43081.81204193545,0.04786034036442145,0.061433110942755324,,2025-10-13
LG유플러스,LG유플러스,62.0,14930.0,925660.0,0.0157326919737288,3.465710217602453,0.054524951323744,2.33,117598.74981064492,41828.552514304676,0.04646807238138078,0.0451878146558182,,2025-10-13
강원랜드,강원랜드,60.0,17560.0,1053600.0,0.0106356315503292,3.304801494232171,0.03514865103963076,2.33,86286.00165337708,39963.51141071468,0.044396165519047154,0.03793043983553026,,2025-10-13
아모레퍼시픽홀딩스,아모레퍼시픽홀딩스,18.0,26250.0,472500.0,0.0151780449472114,3.154092390555811,0.04787295607151355,2.33,52704.53416303106,27616.867634367263,0.030680062470292792,0.05844839710977198,,2025-10-13
KT,KT,16.0,49850.0,797600.0,0.0130887345091081,2.854833835093398,0.03736616213515639,2.33,69441.57464127171,19797.719389220372,0.021993633589160087,0.02482161407876175,,2025-10-13
