name,name_key,shares,close,position_value,ewma_sigma_daily,scale_10d,sigma_10d,z,var_individual,cvar,cvar_port_pct,cvar_pos_pct,note,last_date
영원무역홀딩스,영원무역홀딩스,16.0,139200.0,2227200.0,0.0235130634260905,2.877225527333957,0.06765238631537002,2.33,351073.6698877096,252599.54871079957,0.2788969601957833,0.11341574564960469,,2025-09-26
LG디스플레이,LG디스플레이,84.0,14030.0,1178520.0,0.0354844898449094,2.4862151034369497,0.08822207459016881,2.33,242253.5468761934,131763.94312093526,0.14548150773583626,0.11180458806039377,,2025-09-26
현대지에프홀딩스,현대지에프홀딩스,90.0,7910.0,711900.0,0.0301632569435449,3.3760287520985863,0.10183202269834492,2.33,168911.52551435758,112578.82345902616,0.12429908052245764,0.15813853555137822,,2025-09-26
삼성물산,삼성물산,6.0,187900.0,1127400.0,0.0206525321360034,3.224019694707814,0.066584170352061,2.33,174906.09521594862,102810.86521891318,0.1135142082834108,0.09119289091619051,,2025-09-26
동아쏘시오홀딩스,동아쏘시오홀딩스,10.0,115900.0,1159000.0,0.0199688081451717,3.0684645512225823,0.06127357992362412,2.33,165467.46437634923,77961.07588631718,0.08607737895517882,0.06726581180872923,,2025-09-26
오리온홀딩스,오리온홀딩스,36.0,20250.0,729000.0,0.015525954898587,3.160332003280498,0.04906717214749411,2.33,83344.02659456908,48994.369773869315,0.05409503249859178,0.06720764029337355,,2025-09-26
LG유플러스,LG유플러스,62.0,14980.0,928760.0,0.0169136261059019,3.473454260965778,0.05874870666592697,2.33,127132.83571109797,47911.244298845246,0.05289914594995555,0.05158624865287614,,2025-09-26
세아베스틸지주,세아베스틸지주,32.0,24950.0,798400.0,0.0170356994308112,3.5762939750489973,0.06092466923515573,2.33,113336.45628742162,45788.59169237886,0.05055551009424422,0.05735044049646651,,2025-09-26
강원랜드,강원랜드,60.0,17920.0,1075200.0,0.0094571617211841,3.312201718214405,0.03132402730233748,2.33,78473.45438225269,34553.358741988995,0.038150609400843784,0.03213668037759393,,2025-09-26
아모레퍼시픽홀딩스,아모레퍼시픽홀딩스,18.0,25900.0,466200.0,0.0154760294971166,3.3669290657327444,0.05210669353597919,2.33,56600.687426683246,29564.187852926807,0.03264203030021434,0.06341524635977436,,2025-09-26
KT,KT,16.0,51100.0,817600.0,0.0129029074850681,2.7868727715010886,0.03595876154333388,2.33,68501.72841014338,21183.212791186077,0.023388536063483654,0.025909017601744223,,2025-09-26
