name,name_key,shares,close,position_value,ewma_sigma_daily,scale_10d,sigma_10d,z,var_individual,cvar,cvar_port_pct,cvar_pos_pct,note,last_date
세아베스틸지주,세아베스틸지주,32.0,67200.0,2150400.0,0.0682294470819634,3.634331079808368,0.24796840008811996,2.33,1242428.806790319,1009920.0787203877,0.599075351882471,0.46964289375018026,,2026-01-15
영원무역홀딩스,영원무역홀딩스,16.0,188900.0,3022400.0,0.0284510923315279,2.7408559096718266,0.07798034455348703,2.33,549152.5585718099,296530.7850556598,0.1758993490121394,0.09811103264149677,,2026-01-15
삼성물산,삼성물산,6.0,286000.0,1716000.0,0.0236749641680904,2.912214601989287,0.06894657635188602,2.33,275667.7172962188,111705.28985360512,0.06626255605391299,0.06509632275851114,,2026-01-15
현대지에프홀딩스,현대지에프홀딩스,90.0,8470.0,762300.0,0.0234991766750684,3.247175045111769,0.07630594007995466,2.33,135531.48222647217,67928.86017930233,0.04029477844073801,0.08911040296379684,,2026-01-15
오리온홀딩스,오리온홀딩스,36.0,20400.0,734400.0,0.014622624922289,3.1088974688291064,0.04546024160854168,2.33,77789.38334893931,34372.652036489926,0.02038954274479288,0.046803720093259706,,2026-01-15
동아쏘시오홀딩스,동아쏘시오홀딩스,10.0,103200.0,1032000.0,0.0136047159377331,3.253418286601661,0.04426183161584193,2.33,106430.22983018887,33681.73134403866,0.01997969491061815,0.03263733657368087,,2026-01-15
아모레퍼시픽홀딩스,아모레퍼시픽홀딩스,18.0,26000.0,468000.0,0.0242897681467777,3.1112721011513584,0.07557207797850439,2.33,82406.81671088033,32469.40804554663,0.019260555820364938,0.06937907702039878,,2026-01-15
LG디스플레이,LG디스플레이,84.0,12240.0,1028160.0,0.0199920902653768,2.6033470976828115,0.05204635016898148,2.33,124682.90265809422,31766.047531420514,0.018843328797772986,0.030896015728505793,,2026-01-15
강원랜드,강원랜드,60.0,17990.0,1079400.0,0.0111473021689242,3.475627061213776,0.03874386507783997,2.33,97440.89815849769,28995.117361218676,0.017199638369458394,0.02686225436466433,,2026-01-15
LG유플러스,LG유플러스,62.0,15240.0,944880.0,0.0152482565416306,2.7968738704971874,0.04264745029192443,2.33,93891.36419817219,21729.014142623037,0.012889452410971555,0.0229965859607813,,2026-01-15
KT,KT,16.0,53300.0,852800.0,0.0138430039347724,2.626829058512546,0.03636320499296365,2.33,72254.5610379386,16699.09696760483,0.009905751556759709,0.019581492691844313,,2026-01-15
