name,name_key,shares,close,position_value,ewma_sigma_daily,scale_10d,sigma_10d,z,var_individual,cvar,cvar_port_pct,cvar_pos_pct,note,last_date
삼성물산,삼성물산,6.0,215500.0,1293000.0,0.033421684937008,2.9575262218268223,0.09884550957883569,2.33,297790.8782530625,199707.89498121213,0.22323171772042,0.15445312836907357,,2025-11-05
영원무역홀딩스,영원무역홀딩스,16.0,136600.0,2185600.0,0.0173164566866282,2.9533739229755853,0.051141971616623934,2.33,260437.83107513332,174685.64294209273,0.19526206582232455,0.079925715108937,,2025-11-05
LG디스플레이,LG디스플레이,84.0,14010.0,1176840.0,0.0321581886972905,2.479996062112785,0.07975218133396031,2.33,218683.4479988648,116078.80842787419,0.1297518648360481,0.09863601545484024,,2025-11-05
세아베스틸지주,세아베스틸지주,32.0,27300.0,873600.0,0.029497077284359,3.5589299893841275,0.10497803294648657,2.33,213681.52632617805,101280.25176932392,0.11321016916106279,0.1159343541315521,,2025-11-05
현대지에프홀딩스,현대지에프홀딩스,90.0,7520.0,676800.0,0.024342351681009,3.326743038833433,0.080980749003632,2.33,127702.10625678346,82359.01913636467,0.09206018276497904,0.12168885806200454,,2025-11-05
LG유플러스,LG유플러스,62.0,14970.0,928140.0,0.018934943588508,3.329747034780217,0.06304857226756519,2.33,136346.71134409384,53976.77920121605,0.060334766130487036,0.058155859246682665,,2025-11-05
동아쏘시오홀딩스,동아쏘시오홀딩스,10.0,107600.0,1076000.0,0.0148511534293932,3.2534855225735475,0.048318012676049266,2.33,121137.1232198696,53265.64926198761,0.0595398713774713,0.04950339150742343,,2025-11-05
오리온홀딩스,오리온홀딩스,36.0,18690.0,672840.0,0.0125456590558283,3.206695104729986,0.040230103479936025,2.33,63069.42518327556,36239.058390616454,0.04050769877609978,0.05385984541735993,,2025-11-05
강원랜드,강원랜드,60.0,16680.0,1000800.0,0.0091752767528622,3.357962632487571,0.03081023647884316,2.33,71845.28127650113,32640.49287829966,0.03648525409147921,0.03261440135721389,,2025-11-05
아모레퍼시픽홀딩스,아모레퍼시픽홀딩스,18.0,24850.0,447300.0,0.0152123976459,3.228056548297009,0.0491064798361455,2.33,51179.21524354937,27533.567006161007,0.030776777544692633,0.061555034666132366,,2025-11-05
KT,KT,16.0,48450.0,775200.0,0.0107692283359522,2.789057288515675,0.03003599478207702,2.33,54251.49435130403,16854.339707700736,0.018839631774935455,0.021741924287539648,,2025-11-05
