name,name_key,shares,close,position_value,ewma_sigma_daily,scale_10d,sigma_10d,z,var_individual,cvar,cvar_port_pct,cvar_pos_pct,note,last_date
영원무역홀딩스,영원무역홀딩스,16.0,172100.0,2753600.0,0.0349353814551773,2.8459554972869348,0.09942454090217787,2.33,637896.7188797921,506074.0903115765,0.3964962295315868,0.1837863488929316,,2025-11-20
삼성물산,삼성물산,6.0,224000.0,1344000.0,0.0300190208042477,2.921205995236661,0.08769174354450243,2.33,274608.44874448027,160769.01907261208,0.12595845372865613,0.11961980585759827,,2025-11-20
현대지에프홀딩스,현대지에프홀딩스,90.0,8440.0,759600.0,0.0324877541471087,3.203914340752694,0.10408798141076939,2.33,184221.98748351558,127756.70374822816,0.10009414096337046,0.16818944674595598,,2025-11-20
세아베스틸지주,세아베스틸지주,32.0,26850.0,859200.0,0.0301979909913417,3.655902090823183,0.11040089840390577,2.33,221015.5329471215,96565.04243402918,0.07565626449296692,0.11238948141763172,,2025-11-20
LG디스플레이,LG디스플레이,84.0,12500.0,1050000.0,0.0302195807343403,2.5671092962959694,0.07757696663329156,2.33,189792.0488683478,82256.32545920441,0.06444574722175135,0.07833935758019468,,2025-11-20
아모레퍼시픽홀딩스,아모레퍼시픽홀딩스,18.0,30950.0,557100.0,0.0321822168257983,3.2104350483112585,0.10331891682989515,2.33,134112.39675862758,70426.16483682021,0.055177116064126785,0.12641566116822872,,2025-11-20
오리온홀딩스,오리온홀딩스,36.0,19850.0,714600.0,0.0194525215775634,3.122826472508376,0.06074684933945538,2.33,101144.59759348132,62014.07236808341,0.048586454715959945,0.08678151744763982,,2025-11-20
LG유플러스,LG유플러스,62.0,15780.0,978360.0,0.020765537775969,3.1547974124066074,0.06551106484285867,2.33,149337.63458120596,58515.62303990724,0.045845508292531804,0.05980990948107776,,2025-11-20
동아쏘시오홀딩스,동아쏘시오홀딩스,10.0,108800.0,1088000.0,0.0145373864460562,3.0138509918805982,0.043813516559798045,2.33,111069.01701975043,46683.8335038983,0.03657560092234705,0.04290793520578888,,2025-11-20
강원랜드,강원랜드,60.0,17630.0,1057800.0,0.0109558110538633,3.322942996717848,0.03640553561479904,2.33,89727.77708586921,40133.315768085165,0.03144343621869539,0.03794036279834105,,2025-11-20
KT,KT,16.0,49300.0,788800.0,0.0121601404768224,2.9950209039732423,0.03641987492333424,2.33,66936.23380109569,25171.264204610354,0.019721047848007368,0.03191083190239649,,2025-11-20
