name,name_key,shares,close,position_value,ewma_sigma_daily,scale_10d,sigma_10d,z,var_individual,cvar,cvar_port_pct,cvar_pos_pct,note,last_date
영원무역홀딩스,영원무역홀딩스,16.0,137100.0,2193600.0,0.0215325936422023,2.9698554962947434,0.06394869157777575,2.33,326847.3901388707,233111.03219300168,0.2664980957450614,0.10626870541256458,,2025-10-02
LG디스플레이,LG디스플레이,84.0,14580.0,1224720.0,0.0330025294389705,2.564174872942746,0.08462425673096143,2.33,241483.57590925536,131851.97963647818,0.1507363300774443,0.10765887683427901,,2025-10-02
삼성물산,삼성물산,6.0,197800.0,1186800.0,0.022682369035312,3.192664873548319,0.0724172028679007,2.33,200251.2357272452,120276.0451706559,0.13750244550926521,0.10134483078080207,,2025-10-02
현대지에프홀딩스,현대지에프홀딩스,90.0,7890.0,710100.0,0.0274071285981175,3.3540274008572992,0.09192426029690579,2.33,152091.72216182042,101312.75262404632,0.11582315686648734,0.14267392286163402,,2025-10-02
동아쏘시오홀딩스,동아쏘시오홀딩스,10.0,112500.0,1125000.0,0.0184369574251478,3.054904692022597,0.05632314774470487,2.33,147637.05102580765,66304.79504817816,0.07580122421866456,0.058937595598380584,,2025-10-02
LG유플러스,LG유플러스,62.0,15200.0,942400.0,0.0162051197687521,3.452701440204846,0.0559514403642624,2.33,122857.72514032447,45617.025528017744,0.052150472341032116,0.0484051629117336,,2025-10-02
오리온홀딩스,오리온홀딩스,36.0,20050.0,721800.0,0.0141909401079799,3.1850856102646863,0.045199359134054776,2.33,76016.01099549852,44445.2039766445,0.050810817975229995,0.06157551118958784,,2025-10-02
세아베스틸지주,세아베스틸지주,32.0,25450.0,814400.0,0.0158164215018947,3.5793505946641906,0.05661251770826629,2.33,107425.1962023561,42774.56055165049,0.04890089853794959,0.05252279046126042,,2025-10-02
강원랜드,강원랜드,60.0,17970.0,1078200.0,0.0104755516178185,3.2829113480100847,0.034390307282801756,2.33,86395.53629769827,39747.60602305811,0.04544041187548706,0.036864780210589976,,2025-10-02
아모레퍼시픽홀딩스,아모레퍼시픽홀딩스,18.0,26500.0,477000.0,0.0149557595805667,3.3654488232541726,0.050332843481290516,2.33,55940.42557354109,30080.385020097492,0.034388614093979,0.06306160381571801,,2025-10-02
KT,KT,16.0,51200.0,819200.0,0.0121781001829325,2.815098858702572,0.034282555926138866,2.33,65436.3486682346,19197.930856990333,0.02194753275939925,0.02343497419066203,,2025-10-02
