name,name_key,shares,close,position_value,ewma_sigma_daily,scale_10d,sigma_10d,z,var_individual,cvar,cvar_port_pct,cvar_pos_pct,note,last_date
영원무역홀딩스,영원무역홀딩스,16.0,142500.0,2280000.0,0.0229179453501294,2.907622260656572,0.06663672806854701,2.33,354000.9541913491,251768.18941543638,0.25749763399313014,0.11042464448045455,,2025-09-18
현대지에프홀딩스,현대지에프홀딩스,90.0,8650.0,778500.0,0.0344537966711977,3.3667387047770387,0.11599693077943961,2.33,210407.4127254794,146509.28062985465,0.14984336666127712,0.1881943232239623,,2025-09-18
삼성물산,삼성물산,6.0,196700.0,1180200.0,0.0233111871280697,3.2794659517952818,0.07644824448243302,2.33,210222.42826193015,130315.78514297974,0.1332813586346465,0.11041839107183507,,2025-09-18
LG디스플레이,LG디스플레이,84.0,13090.0,1099560.0,0.0391716553233227,2.4041206736020087,0.09417338638201228,2.33,241269.84274137867,129166.94026568286,0.13210636969575024,0.11747147974251779,,2025-09-18
동아쏘시오홀딩스,동아쏘시오홀딩스,10.0,110500.0,1105000.0,0.0188088524668816,3.073551411785078,0.057809975053641195,2.33,148840.4522718573,67846.95500268594,0.06939093627115248,0.06139995927844881,,2025-09-18
오리온홀딩스,오리온홀딩스,36.0,21200.0,763200.0,0.0174693386130768,3.111797773414983,0.05436104899920477,2.33,96667.86154912987,56984.73871027066,0.058281530425589874,0.07466553814238819,,2025-09-18
세아베스틸지주,세아베스틸지주,32.0,26100.0,835200.0,0.0192013159241974,3.547651846750277,0.06811958389851441,2.33,132561.80017985142,55060.30334825543,0.05631330102519505,0.06592469270624453,,2025-09-18
LG유플러스,LG유플러스,62.0,14860.0,921320.0,0.0181446652081251,3.5327920124200447,0.06410132831530024,2.33,137604.75742204415,51226.181771137395,0.05239192701507012,0.055600857216968474,,2025-09-18
강원랜드,강원랜드,60.0,18170.0,1090200.0,0.0094547166378379,3.371121548384159,0.03187299899168158,2.33,80962.70835670382,35845.204848311136,0.03666092789510001,0.03287947610375265,,2025-09-18
아모레퍼시픽홀딩스,아모레퍼시픽홀딩스,18.0,28000.0,504000.0,0.0159264657846674,3.282235159727934,0.05227440596863928,2.33,61386.880417092485,30764.89623926532,0.03146500759308897,0.061041460792193095,,2025-09-18
KT,KT,16.0,51400.0,822400.0,0.0129065924558965,2.8152528551079463,0.036335321261177306,2.33,69625.45191809787,22261.049975752954,0.022767640789999512,0.027068397344057582,,2025-09-18
