name,name_key,shares,close,position_value,ewma_sigma_daily,scale_10d,sigma_10d,z,var_individual,cvar,cvar_port_pct,cvar_pos_pct,note,last_date
영원무역홀딩스,영원무역홀딩스,16.0,142400.0,2278400.0,0.0254892273249017,2.8629423324369494,0.0729741879295697,2.33,387396.0281844446,283656.41878001014,0.2918723107521501,0.12449807706285557,,2025-09-23
현대지에프홀딩스,현대지에프홀딩스,90.0,8340.0,750600.0,0.031857192491631,3.3834906138591387,0.10778851177933732,2.33,188511.1126738595,128395.24594990074,0.13211411638829135,0.1710568158138832,,2025-09-23
LG디스플레이,LG디스플레이,84.0,13320.0,1118880.0,0.0361186035749756,2.465688341320558,0.08905721973959638,2.33,232171.31691181826,121044.50091521873,0.12455046262628548,0.10818363087660761,,2025-09-23
삼성물산,삼성물산,6.0,197700.0,1186200.0,0.021305576564223,3.2858135825038945,0.0700061528578006,2.33,193486.22555142074,116037.90487532018,0.11939885434802877,0.09782322110547984,,2025-09-23
동아쏘시오홀딩스,동아쏘시오홀딩스,10.0,115900.0,1159000.0,0.0214623511734836,3.124848224852226,0.06706658996561532,2.33,181111.3142044452,86354.0981272851,0.08885527876200074,0.07450741857401648,,2025-09-23
LG유플러스,LG유플러스,62.0,14770.0,915740.0,0.0181436779267849,3.494558369867051,0.06340414155921822,2.33,135283.7810180517,51270.75871062262,0.05275577715902522,0.055988335892963745,,2025-09-23
오리온홀딩스,오리온홀딩스,36.0,20800.0,748800.0,0.0161440332202388,3.122572405690617,0.05041091265007031,2.33,87952.12094422827,51220.49872032304,0.05270406142641388,0.06840344380385022,,2025-09-23
세아베스틸지주,세아베스틸지주,32.0,25600.0,819200.0,0.0178244406835176,3.5539398118455434,0.06334698936903259,2.33,120912.67910028978,48888.93678097274,0.05030496757256489,0.05967887790646086,,2025-09-23
강원랜드,강원랜드,60.0,18230.0,1093800.0,0.0090843822113048,3.3632224250744303,0.030552797971007545,2.33,77865.45548020316,33843.3382573608,0.034823584755201246,0.030941066243701593,,2025-09-23
아모레퍼시픽홀딩스,아모레퍼시픽홀딩스,18.0,26650.0,479700.0,0.0160961577251334,3.2858181158846764,0.05288904664938041,2.33,59114.14032905913,28979.732765101002,0.029819108636810816,0.06041220088618095,,2025-09-23
KT,KT,16.0,49850.0,797600.0,0.0131621557048528,2.836414577772085,0.03733333031615049,2.33,69380.55972617661,22159.640476505407,0.022801477573227785,0.027782899293512294,,2025-09-23
