name,name_key,shares,close,position_value,ewma_sigma_daily,scale_10d,sigma_10d,z,var_individual,cvar,cvar_port_pct,cvar_pos_pct,note,last_date
영원무역홀딩스,영원무역홀딩스,16.0,139600.0,2233600.0,0.0189039239398959,2.9899836484483973,0.05652242347180094,2.33,294158.97020521195,201718.86428064603,0.22513732914476312,0.09031109611418608,,2025-10-23
삼성물산,삼성물산,6.0,206000.0,1236000.0,0.0260294931583831,3.1363535735700343,0.08163769388551159,2.33,235106.76186700712,144990.6002598471,0.16182322169027746,0.11730631088984393,,2025-10-23
LG디스플레이,LG디스플레이,84.0,14150.0,1188600.0,0.0336019975385622,2.504348144393376,0.08415110018360905,2.33,233051.2545902939,122465.71402826977,0.136683318471253,0.10303358070694074,,2025-10-23
현대지에프홀딩스,현대지에프홀딩스,90.0,7970.0,717300.0,0.0276264276504996,3.2915712617696418,0.09093435531974269,2.33,151979.40645508384,100753.64669315053,0.11245059800917871,0.14046235423553677,,2025-10-23
세아베스틸지주,세아베스틸지주,32.0,26550.0,849600.0,0.0271720199971645,3.5274575169586537,0.09584814618994877,2.33,189737.9230569445,90480.5584462611,0.10098485999691562,0.10649783244616419,,2025-10-23
동아쏘시오홀딩스,동아쏘시오홀딩스,10.0,109500.0,1095000.0,0.0171951826984582,3.167283007962783,0.0544620099796423,2.33,138951.64916156037,61955.77268552243,0.0691485014912256,0.05658061432467802,,2025-10-23
오리온홀딩스,오리온홀딩스,36.0,19370.0,697320.0,0.0152449733044025,3.1886525385123377,0.04861092282663585,2.33,78980.86908374443,46781.07487145764,0.052212103655452105,0.06708695415513342,,2025-10-23
LG유플러스,LG유플러스,62.0,15080.0,934960.0,0.015304424494632,3.4247557206173984,0.05241391533874798,2.33,114181.45028431986,42905.14149343981,0.04788619545751617,0.04588981506528601,,2025-10-23
강원랜드,강원랜드,60.0,17090.0,1025400.0,0.0100545741608797,3.370451011454413,0.03388844965028039,2.33,80965.67391235621,37012.6044408177,0.04130956684796683,0.03609577183617876,,2025-10-23
아모레퍼시픽홀딩스,아모레퍼시픽홀딩스,18.0,25200.0,453600.0,0.0148095092321201,3.125115064181081,0.046281420394427314,2.33,48914.277837825495,26537.564371868197,0.029618431503646254,0.05850433062581172,,2025-10-23
KT,KT,16.0,49800.0,796800.0,0.0129711596080039,2.747300421711925,0.0356356722611618,2.33,66159.19352242637,20379.88028764632,0.022745873731805075,0.02557715899554006,,2025-10-23
