,동아쏘시오홀딩스,세아베스틸지주,오리온홀딩스,아모레퍼시픽홀딩스,현대지에프홀딩스,영원무역홀딩스,삼성물산,KT,LG유플러스,강원랜드
동아쏘시오홀딩스,1.0,0.11233668997259878,0.17028030335881014,0.18364406411340714,0.2589128792467594,0.1406789097784564,0.1593097472521427,0.09914495058319199,0.16949651210899644,0.2029168636244073
세아베스틸지주,0.11233668997259878,1.0,0.1406564924300332,0.14161841454917248,0.1943961210020259,0.19830802624087027,0.16212167080310413,0.10610449346560798,0.14961297199643472,0.24181625682426802
오리온홀딩스,0.17028030335881014,0.1406564924300332,1.0,0.2408219962213113,0.3983752411908659,0.34495748979586277,0.25024655024719056,0.240250398715379,0.2646727052419914,0.2887322072894525
아모레퍼시픽홀딩스,0.18364406411340714,0.14161841454917248,0.2408219962213113,1.0,0.2750644141129613,0.1451247257741683,0.1951783691256331,0.11959710371961642,0.1829941476490728,0.35702709772449637
현대지에프홀딩스,0.2589128792467594,0.1943961210020259,0.3983752411908659,0.2750644141129613,1.0,0.3232835582903396,0.36200009303251257,0.24785641889802187,0.2500861836347649,0.35817133280698027
영원무역홀딩스,0.1406789097784564,0.19830802624087027,0.34495748979586277,0.1451247257741683,0.3232835582903396,1.0,0.32203478452904355,0.17700504558217078,0.16628221155415807,0.19484099543274588
삼성물산,0.1593097472521427,0.16212167080310413,0.25024655024719056,0.1951783691256331,0.36200009303251257,0.32203478452904355,1.0,0.2690739973347986,0.222184306769861,0.2868558028263758
KT,0.09914495058319199,0.10610449346560798,0.240250398715379,0.11959710371961642,0.24785641889802187,0.17700504558217078,0.2690739973347986,1.0,0.4567516050498514,0.28583401020611504
LG유플러스,0.16949651210899644,0.14961297199643472,0.2646727052419914,0.1829941476490728,0.2500861836347649,0.16628221155415807,0.222184306769861,0.4567516050498514,1.0,0.3099731245955184
강원랜드,0.2029168636244073,0.24181625682426802,0.2887322072894525,0.35702709772449637,0.35817133280698027,0.19484099543274588,0.2868558028263758,0.28583401020611504,0.3099731245955184,1.0
