,last_price,buy_price,shares,cost,value,pnl,pnl_pct,weight
영원무역홀딩스,123000.0,130600,8,1044800,984000.0,-60800.0,-5.819295558958652,0.20371321154706107
동아쏘시오홀딩스,110900.0,111060,5,555300,554500.0,-800.0,-0.14406627048442283,0.11479570711671276
강원랜드,18100.0,18670,30,560100,543000.0,-17100.0,-3.053026245313337,0.11241491246956724
삼성물산,163400.0,162600,3,487800,490200.0,2400.0,0.4920049200492005,0.10148395965484688
LG유플러스,14890.0,14710,31,456010,461590.0,5580.0,1.2236573759347382,0.09556095662399179
세아베스틸지주,27350.0,29050,16,464800,437600.0,-27200.0,-5.851979345955249,0.09059441196442472
KT,54200.0,54400,8,435200,433600.0,-1600.0,-0.3676470588235294,0.08976630947846105
오리온홀딩스,19860.0,20600,18,370800,357480.0,-13320.0,-3.5922330097087376,0.07400751917057255
현대지에프홀딩스,7290.0,8200,45,369000,328050.0,-40950.0,-11.097560975609756,0.0679147551300949
아모레퍼시픽홀딩스,26700.0,28400,9,255600,240300.0,-15300.0,-5.985915492957746,0.04974825684426705
